AstroVIEW X
Type, Original
Time, 01/01/2002 12:40:04 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6010
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2534579 ,-0.02355           ,-0.02265           ,-0.02665           ,-0.02787           
2534580 ,-0.01508           ,-0.01117           ,-0.01903           ,-0.01208           
2534581 ,-0.00185           ,0.00465            ,-0.00503           ,0.00550            
2534582 ,0.00612            ,0.01320            ,0.00530            ,0.01370            
2534583 ,0.00010            ,0.00648            ,0.00812            ,0.00690            
2534584 ,-0.01467           ,-0.01132           ,-0.00100           ,-0.01177           
2534585 ,-0.02468           ,-0.02403           ,-0.01763           ,-0.02963           
2534586 ,-0.02563           ,-0.02418           ,-0.02672           ,-0.03025           
2534587 ,-0.01655           ,-0.01230           ,-0.01890           ,-0.01490           
2534588 ,-0.00217           ,0.00428            ,-0.00407           ,0.00355            
2534589 ,0.00760            ,0.01335            ,0.00653            ,0.01310            
2534590 ,0.00355            ,0.00690            ,0.01015            ,0.00753            
2534591 ,-0.01255           ,-0.01090           ,0.00073            ,-0.01112           
2534592 ,-0.02508           ,-0.02422           ,-0.01700           ,-0.03118           
2534593 ,-0.02672           ,-0.02532           ,-0.02758           ,-0.03403           
2534594 ,-0.01790           ,-0.01353           ,-0.02043           ,-0.01820           
2534595 ,-0.00310           ,0.00365            ,-0.00460           ,0.00207            
2534596 ,0.00785            ,0.01458            ,0.00787            ,0.01385            
2534597 ,0.00585            ,0.00953            ,0.01230            ,0.00973            
2534598 ,-0.01020           ,-0.00762           ,0.00320            ,-0.00888           
2534599 ,-0.02565           ,-0.02235           ,-0.01498           ,-0.03027           
2534600 ,-0.02975           ,-0.02520           ,-0.02642           ,-0.03442           
2534601 ,-0.02177           ,-0.01435           ,-0.02032           ,-0.01920           
2534602 ,-0.00675           ,0.00348            ,-0.00548           ,0.00187            
2534603 ,0.00528            ,0.01503            ,0.00725            ,0.01483            
2534604 ,0.00512            ,0.01078            ,0.01198            ,0.01162            
2534605 ,-0.00960           ,-0.00657           ,0.00315            ,-0.00638           
2534606 ,-0.02665           ,-0.02198           ,-0.01532           ,-0.02835           
2534607 ,-0.03260           ,-0.02637           ,-0.02780           ,-0.03470           
2534608 ,-0.02463           ,-0.01637           ,-0.02192           ,-0.02005           
2534609 ,-0.00890           ,0.00218            ,-0.00672           ,0.00187            
2534610 ,0.00482            ,0.01510            ,0.00637            ,0.01547            
2534611 ,0.00698            ,0.01208            ,0.01205            ,0.01212            
2534612 ,-0.00650           ,-0.00475           ,0.00400            ,-0.00555           
2534613 ,-0.02510           ,-0.02122           ,-0.01477           ,-0.02755           
2534614 ,-0.03290           ,-0.02722           ,-0.02915           ,-0.03542           
2534615 ,-0.02577           ,-0.01800           ,-0.02495           ,-0.02205           
2534616 ,-0.01027           ,0.00073            ,-0.00982           ,-0.00038           
2534617 ,0.00455            ,0.01497            ,0.00365            ,0.01433            
2534618 ,0.00787            ,0.01308            ,0.00992            ,0.01290            
2534619 ,-0.00380           ,-0.00362           ,0.00270            ,-0.00470           
2534620 ,-0.02372           ,-0.02067           ,-0.01560           ,-0.02815           
2534621 ,-0.03285           ,-0.02798           ,-0.02980           ,-0.03790           
2534622 ,-0.02653           ,-0.01977           ,-0.02620           ,-0.02477           
2534623 ,-0.01090           ,-0.00088           ,-0.01048           ,-0.00215           
2534624 ,0.00455            ,0.01425            ,0.00410            ,0.01390            
2534625 ,0.00983            ,0.01347            ,0.01155            ,0.01420            
2534626 ,-0.00052           ,-0.00220           ,0.00462            ,-0.00245           
2534627 ,-0.02168           ,-0.01913           ,-0.01365           ,-0.02598           
2534628 ,-0.03425           ,-0.02770           ,-0.02890           ,-0.03818           
2534629 ,-0.02963           ,-0.02132           ,-0.02637           ,-0.02735           
2534630 ,-0.01370           ,-0.00283           ,-0.01132           ,-0.00425           
2534631 ,0.00237            ,0.01320            ,0.00353            ,0.01345            
2534632 ,0.00905            ,0.01367            ,0.01158            ,0.01472            
2534633 ,0.00073            ,-0.00105           ,0.00550            ,-0.00048           
2534634 ,-0.01965           ,-0.01805           ,-0.01308           ,-0.02403           
2534635 ,-0.03492           ,-0.02773           ,-0.03008           ,-0.03882           
2534636 ,-0.03213           ,-0.02253           ,-0.02923           ,-0.03020           
2534637 ,-0.01682           ,-0.00438           ,-0.01448           ,-0.00700           
2534638 ,0.00015            ,0.01265            ,0.00150            ,0.01220            
2534639 ,0.00870            ,0.01433            ,0.01092            ,0.01608            
2534640 ,0.00260            ,0.00055            ,0.00578            ,0.00215            
2534641 ,-0.01698           ,-0.01680           ,-0.01195           ,-0.02148           
2534642 ,-0.03405           ,-0.02782           ,-0.02903           ,-0.03813           
2534643 ,-0.03313           ,-0.02375           ,-0.02960           ,-0.03185           
2534644 ,-0.01758           ,-0.00620           ,-0.01643           ,-0.00917           
2534645 ,-0.00120           ,0.01158            ,-0.00067           ,0.01120            
2534646 ,0.00842            ,0.01453            ,0.00948            ,0.01620            
2534647 ,0.00443            ,0.00170            ,0.00528            ,0.00323            
2534648 ,-0.01335           ,-0.01565           ,-0.01175           ,-0.01980           
2534649 ,-0.03208           ,-0.02737           ,-0.02837           ,-0.03702           
2534650 ,-0.03373           ,-0.02553           ,-0.02958           ,-0.03240           
2534651 ,-0.01970           ,-0.00888           ,-0.01677           ,-0.01077           
2534652 ,-0.00252           ,0.00960            ,-0.00065           ,0.00980            
2534653 ,0.00817            ,0.01400            ,0.00987            ,0.01578            
2534654 ,0.00585            ,0.00252            ,0.00670            ,0.00357            
2534655 ,-0.00950           ,-0.01382           ,-0.00970           ,-0.01905           
2534656 ,-0.02963           ,-0.02568           ,-0.02670           ,-0.03695           
2534657 ,-0.03390           ,-0.02577           ,-0.02987           ,-0.03395           
2534658 ,-0.02098           ,-0.01085           ,-0.01820           ,-0.01375           
2534659 ,-0.00375           ,0.00745            ,-0.00162           ,0.00762            
2534660 ,0.00750            ,0.01300            ,0.01070            ,0.01508            
2534661 ,0.00698            ,0.00245            ,0.00875            ,0.00495            
2534662 ,-0.00688           ,-0.01308           ,-0.00753           ,-0.01670           
2534663 ,-0.02695           ,-0.02525           ,-0.02440           ,-0.03580           
2534664 ,-0.03395           ,-0.02598           ,-0.02853           ,-0.03532           
2534665 ,-0.02298           ,-0.01198           ,-0.01848           ,-0.01643           
2534666 ,-0.00593           ,0.00630            ,-0.00252           ,0.00573            
2534667 ,0.00550            ,0.01260            ,0.01028            ,0.01553            
2534668 ,0.00590            ,0.00332            ,0.00925            ,0.00767            
2534669 ,-0.00605           ,-0.01130           ,-0.00615           ,-0.01300           
2534670 ,-0.02527           ,-0.02310           ,-0.02300           ,-0.03300           
2534671 ,-0.03482           ,-0.02500           ,-0.02750           ,-0.03502           
2534672 ,-0.02605           ,-0.01253           ,-0.01882           ,-0.01808           
2534673 ,-0.00890           ,0.00550            ,-0.00380           ,0.00360            
2534674 ,0.00357            ,0.01278            ,0.00882            ,0.01440            
2534675 ,0.00618            ,0.00480            ,0.00860            ,0.00807            
2534676 ,-0.00415           ,-0.00945           ,-0.00622           ,-0.01195           
2534677 ,-0.02253           ,-0.02208           ,-0.02250           ,-0.03277           
2534678 ,-0.03490           ,-0.02522           ,-0.02680           ,-0.03637           
2534679 ,-0.02840           ,-0.01390           ,-0.01880           ,-0.02095           
2534680 ,-0.01140           ,0.00400            ,-0.00450           ,0.00027            
2534681 ,0.00198            ,0.01192            ,0.00842            ,0.01240            
2534682 ,0.00570            ,0.00478            ,0.00903            ,0.00735            
2534683 ,-0.00288           ,-0.00893           ,-0.00450           ,-0.01125           
2534684 ,-0.01953           ,-0.02095           ,-0.01965           ,-0.03087           
2534685 ,-0.03308           ,-0.02532           ,-0.02450           ,-0.03478           
2534686 ,-0.02877           ,-0.01600           ,-0.01805           ,-0.02125           
2534687 ,-0.01317           ,0.00107            ,-0.00462           ,-0.00070           
2534688 ,-0.00007           ,0.00990            ,0.00830            ,0.01137            
2534689 ,0.00437            ,0.00418            ,0.00973            ,0.00723            
2534690 ,-0.00280           ,-0.00830           ,-0.00320           ,-0.01020           
2534691 ,-0.01753           ,-0.02003           ,-0.01885           ,-0.02927           
2534692 ,-0.03118           ,-0.02458           ,-0.02468           ,-0.03340           
2534693 ,-0.02930           ,-0.01732           ,-0.01955           ,-0.02105           
2534694 ,-0.01515           ,-0.00128           ,-0.00733           ,-0.00183           
2534695 ,-0.00215           ,0.00803            ,0.00525            ,0.01078            
2534696 ,0.00252            ,0.00357            ,0.00723            ,0.00787            
2534697 ,-0.00327           ,-0.00755           ,-0.00425           ,-0.00893           
2534698 ,-0.01650           ,-0.01865           ,-0.01893           ,-0.02748           
2534699 ,-0.02975           ,-0.02377           ,-0.02413           ,-0.03235           
2534700 ,-0.03065           ,-0.01763           ,-0.01965           ,-0.02125           
2534701 ,-0.01803           ,-0.00255           ,-0.00880           ,-0.00380           
2534702 ,-0.00450           ,0.00692            ,0.00400            ,0.00865            
2534703 ,0.00065            ,0.00325            ,0.00667            ,0.00732            
2534704 ,-0.00377           ,-0.00695           ,-0.00425           ,-0.00757           
2534705 ,-0.01555           ,-0.01763           ,-0.01803           ,-0.02548           
2534706 ,-0.02813           ,-0.02235           ,-0.02345           ,-0.03120           
2534707 ,-0.03113           ,-0.01667           ,-0.02020           ,-0.02172           
2534708 ,-0.02055           ,-0.00300           ,-0.01020           ,-0.00548           
2534709 ,-0.00685           ,0.00562            ,0.00215            ,0.00717            
2534710 ,-0.00135           ,0.00290            ,0.00573            ,0.00742            
2534711 ,-0.00450           ,-0.00653           ,-0.00393           ,-0.00590           
2534712 ,-0.01382           ,-0.01585           ,-0.01737           ,-0.02308           
2534713 ,-0.02545           ,-0.02045           ,-0.02300           ,-0.02940           
