"P0",
"Index [1]","dR [mm]"
398,-7.42727
399,-7.38577
400,-7.4257
401,-7.43047
402,-7.47131
403,-7.46238
404,-7.4645
405,-7.52241
406,-7.55386
407,-7.48955
408,-7.57097
409,-7.56092
410,-7.5542
411,-7.62148
412,-7.68965
413,-7.65642
414,-7.62824
415,-7.69136
416,-7.73188
417,-7.691
418,-7.68668
419,-7.69895
420,-7.7345
421,-7.73424
422,-7.75725
423,-7.77634
424,-7.7675
425,-7.75984
426,-7.7615
427,-7.79372
428,-7.79626
429,-7.84813
430,-7.91473
431,-7.96452
432,-7.90925
433,-7.95444
434,-7.93372
435,-7.89063
436,-7.92078
437,-7.9328
438,-7.99338
439,-8.00146
440,-8.11599
441,-8.05009
442,-8.03638
443,-8.02352
444,-8.02714
445,-8.09017
446,-8.06527
447,-8.10388
448,-8.08955
449,-8.08751
450,-8.11425
451,-8.10647
452,-8.0557
453,-8.08317
454,-8.03484
455,-8.07287
456,-8.05675
457,-7.99708
458,-8.03977
459,-8.03
460,-8.0352
461,-8.10696
462,-8.08335
463,-8.02196
464,-8.02189
465,-8.09841
466,-8.06356
467,-8.06886
468,-8.08403
469,-8.08657
470,-8.0223
471,-8.02871
472,-8.05241
473,-8.08945
474,-8.01911
475,-8.02492
476,-8.07588
477,-8.04525
478,-7.98776
479,-8.11348
480,-8.10479
481,-8.10904
482,-8.04245
483,-8.07195
484,-8.00548
485,-8.00575
486,-8.0121
487,-7.96828
488,-7.90095
489,-7.96982
490,-7.95744
491,-7.94718
492,-7.91364
493,-7.99646
494,-8.06031
495,-8.05552
496,-7.9309
497,-7.97077
498,-7.97978
499,-8.01437
500,-8.01265
501,-7.97085
502,-8.00432
503,-8.01241
504,-7.96841
505,-7.87934
506,-7.98356
507,-8.00084
508,-7.94846
509,-7.93937
510,-7.94933
511,-7.93156
512,-7.94402
513,-7.98691
514,-7.98026
515,-8.02443
516,-8.0442
517,-8.06938
518,-7.99632
519,-8.03749
520,-8.04404
521,-7.92769
522,-7.90993
523,-7.99952
524,-7.9428
525,-7.88518
526,-7.86854
527,-7.97867
528,-7.95099
529,-7.88012
530,-7.98543
531,-7.99289
532,-7.993
533,-7.90814
534,-7.96339
535,-7.97523
536,-7.94072
537,-7.95336
538,-8.00682
539,-7.9654
540,-7.9612
541,-7.95936
542,-7.93893
543,-8.02857
544,-8.06175
545,-7.99692
546,-8.00067
547,-7.98606
548,-8.02775
549,-8.06568
550,-8.05012
551,-8.03828
552,-8.03737
553,-8.05529
554,-8.00474
555,-8.05209
556,-8.09392
557,-8.0424
558,-8.07138
559,-8.05904
560,-8.02107
561,-8.03582
562,-8.01648
563,-8.11862
564,-8.0622
565,-8.01253
566,-8.06012
567,-8.14396
568,-8.13649
569,-8.20235
570,-8.12018
571,-8.19086
572,-8.11657
573,-8.07247
574,-8.10893
575,-8.11576
576,-8.17699
577,-8.23023
578,-8.14917
579,-8.15513
580,-8.18804
581,-8.1707
582,-8.22067
583,-8.22355
584,-8.19505
585,-8.25514
586,-8.18683
587,-8.23707
588,-8.26831
589,-8.27551
590,-8.23761
591,-8.28356
592,-8.30034
593,-8.33862
594,-8.31896
595,-8.39571
596,-8.48122
597,-8.48026
598,-8.42198
599,-8.45056
600,-8.604
601,-8.63448
602,-8.5613
603,-8.70999
604,-8.75624
605,-8.70321
606,-8.72207
607,-8.8442
608,-8.86607
609,-8.7818
610,-8.88005
611,-8.9252
612,-8.86693
613,-8.90488
614,-8.96492
615,-8.98003
616,-8.96767
617,-9.01018
618,-9.04369
619,-9.04648
620,-9.0674
621,-9.1596
622,-9.14438
623,-9.134
624,-9.14686
625,-9.17775
626,-9.1357
627,-9.17429
628,-9.22211
629,-9.27532
630,-9.28182
631,-9.2455
632,-9.2998
633,-9.27242
634,-9.33113
635,-9.35191
636,-9.31951
637,-9.37721
638,-9.48136
639,-9.41344
640,-9.39803
641,-9.47556
642,-9.54261
643,-9.50049
644,-9.51342
645,-9.51015
646,-9.51563
647,-9.46635
648,-9.53353
649,-9.53594
650,-9.50307
651,-9.5032
652,-9.49773
653,-9.50679
654,-9.52884
655,-9.5623
656,-9.53702
657,-9.48202
658,-9.47364
659,-9.47001
660,-9.52008
661,-9.54706
662,-9.49347
663,-9.45952
664,-9.51063
665,-9.47769
666,-9.44472
667,-9.5027
668,-9.44241
669,-9.43414
670,-9.46701
671,-9.37407
672,-9.35591
673,-9.35828
674,-9.37986
675,-9.33463
676,-9.38071
677,-9.3224
678,-9.29331
679,-9.23424
680,-9.22174
681,-9.1696
682,-9.19829
683,-9.23294
684,-9.16848
685,-9.11369
686,-9.06559
687,-9.05544
688,-9.02529
689,-8.9882
690,-8.96106
691,-8.98235
692,-8.96364
693,-8.94176
694,-8.87232
695,-8.83539
696,-8.833
697,-8.77
698,-8.79177
699,-8.73494
700,-8.69199
701,-8.64929
702,-8.598
703,-8.62999
704,-8.53566
705,-8.57494
706,-8.53428
707,-8.59807
708,-8.55946
709,-8.45616
710,-8.51441
711,-8.52869
712,-8.53193
713,-8.49027
714,-8.4597
715,-8.48963
716,-8.49476
717,-8.40909
718,-8.39087
719,-8.47182
720,-8.40977
721,-8.32769
722,-8.36742
723,-8.31222
724,-8.3146
725,-8.33688
726,-8.28732
727,-8.32039
728,-8.31631
729,-8.23911
730,-8.19501
731,-8.20681
732,-8.22274
733,-8.144
734,-8.13227
735,-8.15078
736,-8.08436
737,-8.05656
738,-8.09489
739,-8.07231
740,-8.02371
741,-8.02349
742,-7.9591
743,-8.0461
744,-8.04151
745,-7.99033
746,-8.00394
747,-8.01848
748,-7.98098
749,-7.878
750,-7.87542
751,-7.91797
752,-7.87655
753,-7.8666
754,-7.89632
755,-7.86404
756,-7.87694
757,-7.86522
758,-7.90914
759,-7.90082
760,-7.97302
761,-7.98433
762,-7.90124
763,-7.9442
764,-7.93054
765,-7.9226
766,-7.91055
767,-7.96147
768,-7.96435
769,-7.92185
770,-7.89223
771,-7.91876
772,-7.92213
773,-7.89166
774,-7.99666
775,-7.92459
776,-7.91331
777,-7.90408
778,-7.97076
779,-7.97211
780,-7.92373
781,-7.91628
782,-7.94875
783,-7.96871
784,-7.96777
785,-7.91292
786,-7.9068
787,-7.91891
788,-7.93039
789,-7.9277
790,-7.93098
791,-7.95682
792,-8.00734
793,-7.97147
794,-7.99246
795,-8.01529
796,-7.97209
797,-7.96342
798,-7.97994
799,-8.00776
800,-7.98804
801,-7.9987
802,-8.00417
803,-7.97501
804,-7.95784
805,-7.957
806,-7.91819
807,-7.92816
808,-7.96672
809,-7.98433
810,-8.00136
811,-7.92711
812,-7.94315
813,-7.96719
814,-7.94785
815,-7.92039
816,-7.9366
817,-7.97317
818,-7.98876
819,-7.94132
820,-7.92948
