AstroVIEW X
Type, Original
Time, 01/01/2002 01:24:35 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6040
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2249431 ,0.00025            ,-0.00390           ,-0.00420           ,-0.00167           
2249432 ,0.00432            ,-0.00212           ,0.00227            ,0.00257            
2249433 ,-0.00105           ,-0.00095           ,0.00265            ,0.00057            
2249434 ,-0.00898           ,-0.00330           ,0.00020            ,-0.00635           
2249435 ,-0.00430           ,-0.00105           ,-0.00015           ,-0.00393           
2249436 ,0.00370            ,0.00428            ,-0.00012           ,0.00137            
2249437 ,0.00090            ,0.00062            ,-0.00475           ,0.00012            
2249438 ,-0.00022           ,-0.00433           ,-0.00448           ,-0.00185           
2249439 ,0.00387            ,-0.00257           ,0.00140            ,0.00212            
2249440 ,0.00087            ,0.00002            ,0.00340            ,0.00135            
2249441 ,-0.00777           ,-0.00172           ,0.00157            ,-0.00550           
2249442 ,-0.00530           ,-0.00143           ,-0.00088           ,-0.00498           
2249443 ,0.00312            ,0.00423            ,-0.00050           ,0.00085            
2249444 ,0.00205            ,0.00230            ,-0.00350           ,0.00130            
2249445 ,-0.00060           ,-0.00380           ,-0.00453           ,-0.00175           
2249446 ,0.00287            ,-0.00343           ,0.00068            ,0.00120            
2249447 ,0.00243            ,0.00032            ,0.00400            ,0.00155            
2249448 ,-0.00590           ,-0.00117           ,0.00235            ,-0.00457           
2249449 ,-0.00680           ,-0.00235           ,-0.00125           ,-0.00607           
2249450 ,0.00198            ,0.00378            ,-0.00093           ,-0.00015           
2249451 ,0.00323            ,0.00330            ,-0.00193           ,0.00185            
2249452 ,-0.00072           ,-0.00357           ,-0.00388           ,-0.00135           
2249453 ,0.00140            ,-0.00512           ,-0.00043           ,0.00052            
2249454 ,0.00298            ,-0.00025           ,0.00348            ,0.00185            
2249455 ,-0.00445           ,-0.00072           ,0.00298            ,-0.00348           
2249456 ,-0.00860           ,-0.00345           ,-0.00180           ,-0.00640           
2249457 ,0.00015            ,0.00232            ,-0.00178           ,-0.00095           
2249458 ,0.00432            ,0.00395            ,-0.00070           ,0.00295            
2249459 ,0.00002            ,-0.00333           ,-0.00272           ,-0.00067           
2249460 ,0.00035            ,-0.00670           ,-0.00157           ,-0.00048           
2249461 ,0.00355            ,-0.00072           ,0.00362            ,0.00198            
2249462 ,-0.00202           ,0.00035            ,0.00468            ,-0.00200           
2249463 ,-0.00912           ,-0.00377           ,-0.00133           ,-0.00643           
2249464 ,-0.00175           ,0.00065            ,-0.00230           ,-0.00200           
2249465 ,0.00532            ,0.00400            ,-0.00017           ,0.00380            
2249466 ,0.00123            ,-0.00248           ,-0.00160           ,0.00052            
2249467 ,-0.00028           ,-0.00753           ,-0.00248           ,-0.00095           
2249468 ,0.00395            ,-0.00078           ,0.00325            ,0.00190            
2249469 ,0.00060            ,0.00190            ,0.00568            ,-0.00105           
2249470 ,-0.00877           ,-0.00317           ,-0.00155           ,-0.00622           
2249471 ,-0.00425           ,-0.00052           ,-0.00425           ,-0.00325           
2249472 ,0.00505            ,0.00437            ,-0.00035           ,0.00405            
2249473 ,0.00223            ,-0.00122           ,-0.00085           ,0.00115            
2249474 ,-0.00122           ,-0.00777           ,-0.00302           ,-0.00190           
2249475 ,0.00335            ,-0.00085           ,0.00223            ,0.00135            
2249476 ,0.00202            ,0.00362            ,0.00673            ,-0.00010           
2249477 ,-0.00907           ,-0.00235           ,-0.00100           ,-0.00627           
2249478 ,-0.00643           ,-0.00117           ,-0.00605           ,-0.00495           
2249479 ,0.00498            ,0.00518            ,-0.00083           ,0.00373            
2249480 ,0.00368            ,0.00052            ,0.00023            ,0.00212            
2249481 ,-0.00202           ,-0.00810           ,-0.00280           ,-0.00238           
2249482 ,0.00250            ,-0.00155           ,0.00220            ,0.00015            
2249483 ,0.00357            ,0.00482            ,0.00775            ,0.00112            
2249484 ,-0.00815           ,-0.00138           ,-0.00028           ,-0.00572           
2249485 ,-0.00910           ,-0.00205           ,-0.00730           ,-0.00625           
2249486 ,0.00335            ,0.00482            ,-0.00120           ,0.00305            
2249487 ,0.00478            ,0.00165            ,0.00190            ,0.00277            
2249488 ,-0.00312           ,-0.00867           ,-0.00283           ,-0.00238           
2249489 ,0.00077            ,-0.00307           ,0.00082            ,-0.00098           
2249490 ,0.00487            ,0.00535            ,0.00803            ,0.00130            
2249491 ,-0.00625           ,-0.00017           ,0.00080            ,-0.00510           
2249492 ,-0.01112           ,-0.00385           ,-0.00780           ,-0.00740           
2249493 ,0.00162            ,0.00325            ,-0.00148           ,0.00260            
2249494 ,0.00612            ,0.00220            ,0.00310            ,0.00435            
2249495 ,-0.00300           ,-0.00895           ,-0.00317           ,-0.00195           
2249496 ,-0.00025           ,-0.00510           ,-0.00130           ,-0.00220           
2249497 ,0.00625            ,0.00532            ,0.00760            ,0.00212            
2249498 ,-0.00343           ,0.00093            ,0.00162            ,-0.00393           
2249499 ,-0.01177           ,-0.00440           ,-0.00862           ,-0.00745           
2249500 ,0.00012            ,0.00207            ,-0.00307           ,0.00140            
2249501 ,0.00698            ,0.00293            ,0.00323            ,0.00537            
2249502 ,-0.00230           ,-0.00840           ,-0.00338           ,-0.00065           
2249503 ,-0.00130           ,-0.00572           ,-0.00315           ,-0.00255           
2249504 ,0.00642            ,0.00503            ,0.00682            ,0.00225            
2249505 ,-0.00143           ,0.00200            ,0.00232            ,-0.00285           
2249506 ,-0.01195           ,-0.00438           ,-0.00940           ,-0.00753           
2249507 ,-0.00140           ,0.00127            ,-0.00540           ,0.00025            
2249508 ,0.00785            ,0.00355            ,0.00268            ,0.00582            
2249509 ,-0.00122           ,-0.00695           ,-0.00280           ,-0.00010           
2249510 ,-0.00215           ,-0.00625           ,-0.00422           ,-0.00360           
2249511 ,0.00625            ,0.00445            ,0.00630            ,0.00148            
2249512 ,0.00037            ,0.00285            ,0.00332            ,-0.00257           
2249513 ,-0.01212           ,-0.00440           ,-0.00933           ,-0.00783           
2249514 ,-0.00388           ,0.00015            ,-0.00627           ,-0.00112           
2249515 ,0.00690            ,0.00395            ,0.00298            ,0.00590            
2249516 ,-0.00128           ,-0.00595           ,-0.00135           ,0.00035            
2249517 ,-0.00360           ,-0.00680           ,-0.00310           ,-0.00393           
2249518 ,0.00557            ,0.00360            ,0.00667            ,0.00107            
2249519 ,0.00257            ,0.00345            ,0.00468            ,-0.00230           
2249520 ,-0.01110           ,-0.00443           ,-0.00857           ,-0.00765           
2249521 ,-0.00598           ,-0.00195           ,-0.00698           ,-0.00212           
2249522 ,0.00537            ,0.00270            ,0.00298            ,0.00528            
2249523 ,-0.00033           ,-0.00517           ,0.00030            ,0.00082            
2249524 ,-0.00448           ,-0.00698           ,-0.00235           ,-0.00385           
2249525 ,0.00485            ,0.00318            ,0.00655            ,0.00052            
2249526 ,0.00423            ,0.00395            ,0.00478            ,-0.00220           
2249527 ,-0.00953           ,-0.00395           ,-0.00848           ,-0.00755           
2249528 ,-0.00717           ,-0.00278           ,-0.00772           ,-0.00312           
2249529 ,0.00437            ,0.00230            ,0.00298            ,0.00507            
2249530 ,0.00040            ,-0.00435           ,0.00137            ,0.00157            
2249531 ,-0.00415           ,-0.00677           ,-0.00185           ,-0.00348           
2249532 ,0.00423            ,0.00245            ,0.00580            ,-0.00010           
2249533 ,0.00450            ,0.00420            ,0.00457            ,-0.00195           
2249534 ,-0.00790           ,-0.00325           ,-0.00817           ,-0.00748           
2249535 ,-0.00775           ,-0.00267           ,-0.00748           ,-0.00370           
2249536 ,0.00330            ,0.00237            ,0.00282            ,0.00412            
2249537 ,0.00110            ,-0.00300           ,0.00200            ,0.00202            
2249538 ,-0.00395           ,-0.00583           ,-0.00200           ,-0.00298           
2249539 ,0.00348            ,0.00205            ,0.00423            ,0.00000            
2249540 ,0.00423            ,0.00385            ,0.00370            ,-0.00140           
2249541 ,-0.00667           ,-0.00272           ,-0.00807           ,-0.00695           
2249542 ,-0.00803           ,-0.00310           ,-0.00780           ,-0.00398           
2249543 ,0.00218            ,0.00107            ,0.00143            ,0.00365            
2249544 ,0.00123            ,-0.00322           ,0.00140            ,0.00218            
2249545 ,-0.00317           ,-0.00540           ,-0.00233           ,-0.00212           
2249546 ,0.00343            ,0.00145            ,0.00353            ,-0.00002           
2249547 ,0.00503            ,0.00362            ,0.00337            ,-0.00133           
2249548 ,-0.00545           ,-0.00243           ,-0.00767           ,-0.00670           
2249549 ,-0.00803           ,-0.00310           ,-0.00772           ,-0.00380           
2249550 ,0.00077            ,0.00040            ,0.00065            ,0.00270            
2249551 ,0.00125            ,-0.00335           ,0.00107            ,0.00235            
2249552 ,-0.00233           ,-0.00485           ,-0.00167           ,-0.00162           
2249553 ,0.00282            ,0.00102            ,0.00345            ,-0.00043           
2249554 ,0.00493            ,0.00295            ,0.00300            ,-0.00183           
2249555 ,-0.00355           ,-0.00152           ,-0.00672           ,-0.00615           
2249556 ,-0.00662           ,-0.00250           ,-0.00690           ,-0.00355           
2249557 ,-0.00050           ,-0.00035           ,0.00032            ,0.00195            
2249558 ,0.00048            ,-0.00377           ,0.00145            ,0.00175            
2249559 ,-0.00170           ,-0.00448           ,-0.00025           ,-0.00095           
2249560 ,0.00220            ,0.00077            ,0.00368            ,-0.00020           
2249561 ,0.00445            ,0.00243            ,0.00250            ,-0.00270           
2249562 ,-0.00220           ,-0.00115           ,-0.00643           ,-0.00660           
2249563 ,-0.00515           ,-0.00180           ,-0.00595           ,-0.00320           
2249564 ,-0.00117           ,-0.00078           ,0.00005            ,0.00177            
2249565 ,0.00005            ,-0.00443           ,0.00080            ,0.00115            
2249566 ,-0.00095           ,-0.00367           ,0.00052            ,-0.00022           
