"P0",
"Index [1]","dR [mm]"
0,0
1,-0.00168438
2,-0.00287975
3,-0.00222861
4,0.00155028
5,-0.000983935
6,0.000554162
7,-0.000190323
8,-0.00120366
9,-0.00264298
10,-0.00386592
11,0.000652858
12,-0.00820034
13,-0.00105423
14,-0.00289943
15,-0.00607149
16,-0.00758387
17,-0.00388683
18,-0.00658504
19,-0.0046141
20,-0.00775547
21,-0.0101528
22,-0.00990995
23,-0.0138745
24,-0.00684968
25,-0.00386035
26,-0.00837991
27,-0.00939285
28,-0.0141056
29,-0.0134685
30,-0.0152526
31,-0.0111888
32,-0.0129554
33,-0.0130585
34,-0.0136489
35,-0.011994
36,-0.0147953
37,-0.0126239
38,-0.0105811
39,-0.0111931
40,-0.0150253
41,-0.00739222
42,-0.0103296
43,-0.0134219
44,-0.0118084
45,-0.0154841
46,-0.0144615
47,-0.0128353
48,-0.0153396
49,-0.0176854
50,-0.0161538
51,-0.0130384
52,-0.0162902
53,-0.0145197
54,-0.0141306
55,-0.0174216
56,-0.0166208
57,-0.015162
58,-0.0163006
59,-0.0197131
60,-0.0216141
61,-0.0186547
62,-0.0200654
63,-0.0231081
64,-0.0164727
65,-0.0189856
66,-0.0190505
67,-0.0209351
68,-0.0224674
69,-0.0215001
70,-0.0248439
71,-0.0226716
72,-0.0218898
73,-0.0206316
74,-0.0247711
75,-0.0235077
76,-0.02359
77,-0.0258992
78,-0.0264168
79,-0.0262578
80,-0.0321441
81,-0.0290853
82,-0.0330116
83,-0.031324
84,-0.0308539
85,-0.0298913
86,-0.033633
87,-0.0272998
88,-0.0326786
89,-0.0361764
90,-0.0370146
91,-0.0333883
92,-0.0284298
93,-0.0327818
94,-0.0349546
95,-0.041194
96,-0.0343218
97,-0.0401994
98,-0.0368595
99,-0.038786
100,-0.0384472
101,-0.0352777
102,-0.0413288
103,-0.0396533
104,-0.0424997
105,-0.0370666
106,-0.0402603
107,-0.0444993
108,-0.045442
109,-0.0457678
110,-0.044468
111,-0.0445495
112,-0.0461062
113,-0.0434725
114,-0.0476402
115,-0.0497999
116,-0.0507226
117,-0.0507467
118,-0.0480551
119,-0.050324
120,-0.0470522
121,-0.0460043
122,-0.0520337
123,-0.0517791
124,-0.0538434
125,-0.0528685
126,-0.0589953
127,-0.0514476
128,-0.0566023
129,-0.0625941
130,-0.0564746
131,-0.0610378
132,-0.0609158
133,-0.0609534
134,-0.0644138
135,-0.069984
136,-0.066537
137,-0.0688709
138,-0.0662477
139,-0.0661895
140,-0.0679403
141,-0.0717467
142,-0.0738304
143,-0.0724827
144,-0.0724162
145,-0.0747778
146,-0.0736596
147,-0.0717791
148,-0.0766013
149,-0.0814732
150,-0.0791571
151,-0.0822464
152,-0.0808056
153,-0.0831663
154,-0.0818797
155,-0.0851702
156,-0.0897423
157,-0.0862628
158,-0.0875333
159,-0.0901897
160,-0.089517
161,-0.0925644
162,-0.0933352
163,-0.0941758
164,-0.0971192
165,-0.0916684
166,-0.0958304
167,-0.0980559
168,-0.101865
169,-0.101385
170,-0.100445
171,-0.104664
172,-0.105472
173,-0.109555
174,-0.107851
175,-0.111312
176,-0.113452
177,-0.115034
178,-0.116936
179,-0.119552
180,-0.120634
181,-0.12135
182,-0.125395
183,-0.12495
184,-0.131946
185,-0.132505
186,-0.130897
187,-0.131481
188,-0.137633
189,-0.132897
190,-0.137004
191,-0.141748
192,-0.144053
193,-0.142863
194,-0.149707
195,-0.148398
196,-0.156268
197,-0.152462
198,-0.157374
199,-0.161476
200,-0.169739
201,-0.168388
202,-0.172456
203,-0.175663
204,-0.183748
205,-0.186852
206,-0.189788
207,-0.195642
208,-0.20022
209,-0.202713
210,-0.211343
211,-0.213036
212,-0.218327
213,-0.227057
214,-0.234848
215,-0.237725
216,-0.248991
217,-0.258298
218,-0.270661
219,-0.282516
220,-0.287544
221,-0.30017
222,-0.311631
223,-0.320601
224,-0.335557
225,-0.347646
226,-0.360228
227,-0.375455
228,-0.392891
229,-0.413289
230,-0.428677
231,-0.450323
232,-0.472399
233,-0.493346
234,-0.522435
235,-0.551853
236,-0.584434
237,-0.618316
238,-0.651143
239,-0.688611
240,-0.733891
241,-0.77486
242,-0.823646
243,-0.871763
244,-0.934795
245,-0.991183
246,-1.05994
247,-1.13541
248,-1.21704
249,-1.30055
250,-1.40211
251,-1.51637
252,-1.62834
253,-1.75386
254,-1.8897
255,-2.0343
256,-2.19187
257,-2.35892
258,-2.54513
259,-2.74255
260,-2.96147
261,-3.20017
262,-3.46755
263,-3.75498
264,-4.07758
265,-4.42474
266,-4.79628
267,-5.18719
268,-5.60181
269,-6.15716
270,-6.90309
271,-7.7117
272,-8.47757
273,-9.21584
274,-9.94199
275,-10.7785
276,-11.6664
277,-12.6371
278,-13.6014
279,-14.5427
280,-15.4594
281,-15.8801
282,-15.7073
283,-15.5572
284,-15.4551
285,-15.3413
286,-15.2359
287,-15.1241
288,-15.0112
289,-14.9228
290,-14.8647
291,-14.7845
292,-14.6936
293,-14.6485
294,-14.5878
295,-14.5547
296,-14.5412
297,-14.4557
298,-14.4347
299,-14.3576
300,-14.3512
301,-14.35
302,-14.3144
303,-14.3104
304,-14.3058
305,-14.2311
306,-14.3023
307,-14.2379
308,-14.242
309,-14.1725
310,-14.1012
311,-14.0608
312,-13.9759
313,-13.9512
314,-13.9118
315,-13.8449
316,-13.7942
317,-13.6891
318,-13.6061
319,-13.5248
320,-13.4665
321,-13.4051
322,-13.3007
323,-13.2616
324,-13.179
325,-13.0599
326,-13.0119
327,-12.9343
328,-12.8384
329,-12.7599
330,-12.6414
331,-12.4992
332,-12.4196
333,-12.3082
334,-12.176
335,-12.0657
336,-11.9532
337,-11.8186
338,-11.7277
339,-11.6117
340,-11.4941
341,-11.4362
342,-11.3394
343,-11.2126
344,-11.1535
345,-11.0802
346,-10.9905
347,-10.9056
348,-10.7937
349,-10.7803
350,-10.6314
351,-10.546
352,-10.5267
353,-10.4343
354,-10.3567
355,-10.3221
356,-10.3037
357,-10.2165
358,-10.1802
359,-10.1351
360,-10.055
361,-10.0072
362,-9.99216
363,-9.97189
364,-9.92711
365,-9.94518
366,-9.92795
367,-9.8463
368,-9.86003
369,-9.84502
370,-9.83858
371,-9.83796
372,-9.90098
373,-9.89032
374,-9.88396
375,-9.90927
376,-9.96714
377,-9.9415
378,-9.98033
379,-10.0385
380,-9.98848
381,-9.96065
382,-9.98163
383,-9.99939
384,-9.98224
385,-9.98426
386,-10.0284
387,-10.0585
388,-10.0892
389,-10.1474
390,-10.1735
391,-10.1538
392,-10.1393
393,-10.1988
394,-10.2087
395,-10.2399
396,-10.3265
397,-10.3694
398,-10.3552
399,-10.4526
400,-10.4934
401,-10.5039
402,-10.4811
403,-10.532
404,-10.5717
405,-10.6455
406,-10.6663
407,-10.6447
408,-10.6901
409,-10.7627
410,-10.8069
411,-10.7917
412,-10.8502
413,-10.8754
414,-10.7887
415,-10.8324
416,-10.8788
417,-10.903
418,-10.8205
419,-10.905
420,-10.9014
421,-10.8355
422,-10.8509
423,-10.881
424,-10.8676
425,-10.9146
426,-10.9436
427,-10.9806
428,-10.9558
429,-10.965
430,-11.0509
431,-11.0414
432,-11.013
433,-11.0413
434,-11.0063
435,-11.0258
436,-11.0167
437,-10.9956
438,-10.9983
439,-11.0992
440,-11.0742
441,-10.9876
442,-11.0728
443,-11.0867
444,-11.0431
445,-11.0379
446,-11.1565
447,-11.1259
448,-11.0292
449,-11.0684
450,-11.0749
451,-10.9893
452,-10.9678
453,-10.9837
454,-10.9712
455,-10.9116
456,-10.8952
457,-10.9511
458,-10.9077
459,-10.9201
460,-10.8483
461,-10.8466
462,-10.9459
463,-10.8847
464,-10.8431
465,-10.8497
466,-10.8733
467,-10.8593
468,-10.7634
469,-10.7883
470,-10.7883
471,-10.7395
472,-10.7216
473,-10.7506
474,-10.7748
475,-10.7253
476,-10.6429
477,-10.7318
478,-10.6716
479,-10.6463
480,-10.732
481,-10.7067
482,-10.6872
483,-10.6447
484,-10.6962
485,-10.6826
486,-10.5773
487,-10.6557
488,-10.6753
489,-10.5639
490,-10.5433
491,-10.6067
492,-10.5857
493,-10.5491
494,-10.5375
495,-10.5227
496,-10.5302
497,-10.4865
498,-10.5206
499,-10.6275
500,-10.5569
501,-10.5628
502,-10.5983
503,-10.5685
504,-10.4848
