Average,P0,P1
Index [1],dR [mm],dR [mm]
212,-11.9386,-10.954
213,-12.0561,-11.0712
214,-12.15,-11.1355
215,-12.2292,-11.1992
216,-12.2876,-11.2583
217,-12.3779,-11.3647
218,-12.4493,-11.4583
219,-12.5287,-11.5825
220,-12.6034,-11.6798
221,-12.6844,-11.7263
222,-12.7319,-11.7702
223,-12.7879,-11.8454
224,-12.8598,-11.9047
225,-12.8898,-11.9765
226,-12.9335,-12.037
227,-12.9824,-12.129
228,-13.0346,-12.1935
229,-13.0704,-12.2709
230,-13.1295,-12.3569
231,-13.1443,-12.3838
232,-13.1298,-12.424
233,-13.1591,-12.4422
234,-13.1557,-12.4594
235,-13.1648,-12.4735
236,-13.1761,-12.5244
237,-13.199,-12.5597
238,-13.1715,-12.6016
239,-13.1837,-12.6508
240,-13.2198,-12.6994
241,-13.2506,-12.7616
242,-13.3078,-12.849
243,-13.3686,-12.8744
244,-13.3994,-12.9565
245,-13.4747,-13.0165
246,-13.5467,-13.0975
247,-13.6098,-13.1593
248,-13.6049,-13.1642
249,-13.7184,-13.2469
250,-13.7537,-13.3417
251,-13.7984,-13.3666
252,-13.8501,-13.4487
253,-13.8959,-13.5039
254,-13.9886,-13.5673
255,-14.0278,-13.608
256,-14.0795,-13.655
257,-14.1232,-13.669
258,-14.1631,-13.7081
259,-14.1884,-13.7315
260,-14.2354,-13.7679
261,-14.2765,-13.8017
262,-14.3196,-13.8544
263,-14.3525,-13.8669
264,-14.3963,-13.9163
265,-14.4504,-13.9653
266,-14.4846,-13.988
267,-14.5162,-14.0101
268,-14.5546,-14.0344
269,-14.5994,-14.07
270,-14.6316,-14.0734
271,-14.6534,-14.1083
272,-14.6774,-14.1304
273,-14.7124,-14.1289
274,-14.7377,-14.1465
275,-14.7578,-14.1494
276,-14.7683,-14.1547
277,-14.7553,-14.1354
278,-14.7704,-14.122
279,-14.7824,-14.1296
280,-14.7868,-14.1288
281,-14.7938,-14.1166
282,-14.7797,-14.0957
283,-14.7711,-14.0668
284,-14.755,-14.0402
285,-14.7121,-13.9868
286,-14.7043,-13.9675
287,-14.6894,-13.9357
288,-14.7523,-13.9857
289,-14.6583,-13.8805
290,-14.6369,-13.8676
291,-14.6372,-13.8546
292,-14.6083,-13.8265
293,-14.5599,-13.7637
294,-14.5081,-13.7274
295,-14.4689,-13.6807
296,-14.4422,-13.6522
297,-14.3631,-13.5751
298,-14.3736,-13.5863
299,-14.3008,-13.5261
300,-14.2319,-13.465
301,-14.2107,-13.4427
302,-14.196,-13.4233
303,-14.1872,-13.4039
304,-14.1496,-13.3788
305,-14.1083,-13.3207
306,-14.0799,-13.2959
307,-14.0305,-13.2539
308,-13.9918,-13.2174
309,-13.9349,-13.1722
310,-13.9033,-13.1613
311,-13.8547,-13.1199
312,-13.853,-13.1049
313,-13.8221,-13.0758
314,-13.7862,-13.0408
315,-13.7729,-13.026
316,-13.7117,-12.9842
317,-13.6702,-12.967
318,-13.6558,-12.921
319,-13.6511,-12.9225
320,-13.5847,-12.8694
321,-13.5473,-12.8493
322,-13.5343,-12.8327
323,-13.5206,-12.7987
324,-13.5013,-12.7651
325,-13.4703,-12.7518
326,-13.4527,-12.7284
327,-13.4063,-12.7036
328,-13.3589,-12.6486
329,-13.3451,-12.6558
330,-13.3616,-12.6644
331,-13.2986,-12.6164
332,-13.2817,-12.591
333,-13.2488,-12.5465
334,-13.2385,-12.5379
335,-13.2633,-12.5495
336,-13.2596,-12.5369
337,-13.2297,-12.498
338,-13.2148,-12.4755
339,-13.1756,-12.4104
340,-13.1802,-12.3881
341,-13.0935,-12.3197
342,-13.1138,-12.3052
343,-13.1273,-12.3053
344,-13.1423,-12.3149
345,-13.1021,-12.2948
346,-13.0773,-12.2561
347,-13.053,-12.2171
348,-13.0359,-12.1978
349,-13.0158,-12.2006
350,-12.9944,-12.1717
351,-12.9729,-12.1291
352,-12.9687,-12.1373
353,-12.9561,-12.1161
354,-12.9635,-12.1266
355,-12.9484,-12.0589
356,-12.9332,-12.052
357,-12.9361,-12.0629
358,-12.9136,-12.0229
359,-12.9156,-12.0335
360,-12.9033,-12.0363
361,-12.935,-12.0559
362,-12.9065,-12.0138
363,-12.8805,-11.9855
364,-12.9079,-11.9996
365,-12.9029,-11.9712
366,-12.8877,-11.9849
367,-12.8741,-11.9856
368,-12.9008,-11.9993
369,-12.9205,-12.0166
370,-12.918,-12.0161
371,-12.8937,-11.9771
372,-12.9044,-11.9816
373,-12.9223,-11.9855
374,-12.9413,-12.021
375,-12.8835,-11.9436
376,-12.9488,-12.0035
377,-12.9661,-11.9985
378,-12.9769,-12.0119
379,-12.997,-12.0684
380,-13.0327,-12.0617
381,-12.9399,-12.0031
382,-12.9929,-12.0543
383,-12.9715,-12.0371
384,-12.9888,-12.0421
385,-13.0188,-12.0807
386,-13.038,-12.1042
387,-13.0529,-12.1136
388,-13.0539,-12.1138
389,-13.0338,-12.0953
390,-13.0575,-12.116
391,-13.0719,-12.1347
392,-13.1243,-12.1898
393,-13.1147,-12.1712
394,-13.1459,-12.2202
395,-13.1662,-12.2159
396,-13.1609,-12.2416
397,-13.1593,-12.244
398,-13.1712,-12.2496
399,-13.1816,-12.2596
400,-13.2205,-12.298
401,-13.2508,-12.3465
402,-13.2422,-12.3417
403,-13.2558,-12.3497
404,-13.2537,-12.349
405,-13.2674,-12.3663
406,-13.2916,-12.3976
407,-13.3053,-12.4203
408,-13.3252,-12.4437
409,-13.3699,-12.4808
410,-13.3652,-12.4813
411,-13.3789,-12.4763
412,-13.3668,-12.4683
413,-13.3933,-12.512
414,-13.4037,-12.5292
415,-13.4084,-12.5502
416,-13.444,-12.5595
417,-13.4535,-12.5728
418,-13.4341,-12.5622
419,-13.4822,-12.6084
420,-13.5045,-12.6352
421,-13.4787,-12.6146
422,-13.488,-12.6395
423,-13.493,-12.6511
424,-13.5394,-12.6762
425,-13.5401,-12.6802
426,-13.5697,-12.7111
427,-13.5614,-12.7131
428,-13.5684,-12.714
429,-13.5796,-12.7415
430,-13.5742,-12.7227
431,-13.5815,-12.7215
432,-13.595,-12.7463
433,-13.6273,-12.7935
434,-13.6577,-12.8311
435,-13.6558,-12.8103
436,-13.6706,-12.8313
437,-13.6912,-12.8663
438,-13.6809,-12.8509
439,-13.6832,-12.8697
440,-13.678,-12.8626
441,-13.7223,-12.8995
442,-13.7097,-12.89
443,-13.7103,-12.8823
444,-13.7431,-12.9174
445,-13.761,-12.9301
446,-13.7641,-12.9353
447,-13.759,-12.9595
448,-13.7551,-12.9393
449,-13.7814,-12.9557
450,-13.7484,-12.9466
451,-13.7704,-12.9705
452,-13.8064,-12.9961
