Average,P0,P1
Index [1],dR [mm],dR [mm]
984,-6.82736,-5.41707
985,-6.7785,-5.37268
986,-6.82207,-5.36054
987,-6.73888,-5.32714
988,-6.71065,-5.23865
989,-6.76147,-5.26857
990,-6.71705,-5.33492
991,-6.77433,-5.33985
992,-6.78696,-5.35751
993,-6.7111,-5.28916
994,-6.75916,-5.2862
995,-6.76889,-5.33198
996,-6.75307,-5.32042
997,-6.73094,-5.30053
998,-6.74542,-5.31934
999,-6.80465,-5.34846
1000,-6.82523,-5.412
1001,-6.79422,-5.36083
1002,-6.80725,-5.37847
1003,-6.81111,-5.39249
1004,-6.86232,-5.44405
1005,-6.86702,-5.39808
1006,-6.92906,-5.40279
1007,-6.92283,-5.44895
1008,-6.88453,-5.37811
1009,-6.93472,-5.42498
1010,-6.91799,-5.44982
1011,-6.89259,-5.48491
1012,-6.90047,-5.43904
1013,-7.01467,-5.55721
1014,-7.04265,-5.54156
1015,-6.91045,-5.4614
1016,-6.87388,-5.41793
1017,-6.96969,-5.51715
1018,-7.06337,-5.59055
1019,-7.14127,-5.63957
1020,-7.10396,-5.65722
1021,-7.11356,-5.66312
1022,-7.06915,-5.64238
1023,-7.04905,-5.64582
1024,-7.11573,-5.61113
1025,-7.21587,-5.74965
1026,-7.16613,-5.71748
1027,-7.20976,-5.77814
1028,-7.22295,-5.72567
1029,-7.30881,-5.78164
1030,-7.29456,-5.85801
1031,-7.34095,-5.88446
1032,-7.30435,-5.81783
1033,-7.33002,-5.89858
1034,-7.43335,-5.95561
1035,-7.4923,-6.0314
1036,-7.50567,-6.03876
1037,-7.47873,-6.00938
1038,-7.52641,-6.09583
1039,-7.50859,-6.07587
1040,-7.53017,-6.0494
1041,-7.69173,-6.16186
1042,-7.64745,-6.24105
1043,-7.67968,-6.19685
1044,-7.66327,-6.22785
1045,-7.74317,-6.24887
1046,-7.77376,-6.27293
1047,-7.7337,-6.29894
1048,-7.76954,-6.32302
1049,-7.81416,-6.33228
1050,-7.7809,-6.31755
1051,-7.85872,-6.37756
1052,-7.84586,-6.37071
1053,-7.85809,-6.39146
1054,-7.8764,-6.45196
1055,-7.92459,-6.48549
1056,-7.86198,-6.38152
1057,-7.90608,-6.48124
1058,-7.96895,-6.48558
1059,-7.93721,-6.5083
1060,-7.89474,-6.4492
1061,-7.95491,-6.49884
1062,-7.97917,-6.51054
1063,-7.85349,-6.4339
1064,-7.86355,-6.37544
1065,-7.87626,-6.4809
1066,-7.93358,-6.48469
1067,-7.97633,-6.54215
1068,-7.91831,-6.47952
1069,-7.96002,-6.53859
1070,-7.90529,-6.51602
1071,-7.8825,-6.45327
1072,-7.95727,-6.52714
1073,-7.90716,-6.5122
1074,-7.89348,-6.49283
1075,-7.8912,-6.52297
1076,-7.90392,-6.50825
1077,-7.92629,-6.50009
1078,-7.89964,-6.46294
1079,-7.86115,-6.49928
1080,-7.88385,-6.46559
1081,,-6.491
1082,-7.82474,-6.44005
1083,-7.82524,-6.408
1084,-7.81042,-6.40005
1085,-7.76626,-6.35681
1086,-7.74453,-6.36348
1087,-7.75331,-6.3961
1088,-7.70706,-6.33458
1089,-7.68313,-6.29763
1090,-7.64316,-6.2536
1091,-7.61367,-6.22973
1092,-7.62225,-6.25308
1093,-7.57595,-6.26378
1094,-7.5759,-6.13023
1095,-7.48714,-6.16594
1096,-7.5193,-6.16037
1097,-7.47795,-6.11721
1098,-7.51845,-6.16252
1099,-7.45754,-6.10518
1100,-7.44235,-6.10516
1101,-7.40961,-6.06014
1102,-7.41189,-6.05322
1103,-7.35757,-5.9417
1104,-7.33841,-6.00716
1105,-7.30903,-5.94241
1106,-7.32387,-6.05414
1107,-7.29858,-5.9797
1108,-7.22364,-5.91216
1109,-7.21395,-5.84974
1110,-7.19707,-5.91407
1111,-7.19704,-5.90093
1112,-7.0923,-5.77679
1113,-7.11172,-5.7899
1114,-7.04755,-5.76253
1115,-7.06413,-5.7857
1116,-7.07656,-5.82305
1117,-7.05284,-5.74828
1118,-7.0012,-5.75776
1119,-6.97622,-5.70559
1120,-6.90443,-5.69157
1121,-6.86456,-5.57132
1122,-6.87822,-5.59371
1123,-6.86565,-5.585
1124,-6.81855,-5.5307
1125,-6.81659,-5.54574
1126,-6.7166,-5.50903
1127,-6.69701,-5.55107
1128,-6.64583,-5.3598
1129,-6.57612,-5.37773
1130,-6.61281,-5.39342
1131,-6.54698,-5.32889
1132,-6.50696,-5.32406
1133,-6.45703,-5.27248
1134,-6.4597,-5.25289
1135,-6.38915,-5.17563
1136,-6.33066,-5.17998
1137,-6.28297,-5.08648
1138,-6.18928,-5.06486
1139,-6.15699,-5.04019
1140,-6.20709,-5.08008
1141,-6.15215,-5.00469
1142,-6.08411,-4.9428
1143,-6.02312,-4.88398
1144,-5.965,-4.88367
1145,-6.01078,-4.92351
1146,-5.98872,-4.8877
1147,-5.98907,-4.81329
1148,-5.86084,-4.81342
1149,-5.85458,-4.78196
1150,-5.89105,-4.78924
1151,-5.8442,-4.78314
1152,-5.81014,-4.65982
1153,-5.74212,-4.66726
1154,-5.75012,-4.64398
1155,-5.71278,-4.61945
1156,-5.73698,-4.69512
1157,-5.75247,-4.63821
1158,-5.63107,-4.56653
1159,-5.59972,-4.49602
1160,-5.6405,-4.61401
1161,-5.59591,-4.55632
1162,-5.59192,-4.52887
1163,-5.488,-4.43273
1164,-5.5383,-4.46939
1165,-5.58852,-4.51241
1166,-5.55117,-4.50369
1167,-5.57632,-4.51484
1168,-5.49338,-4.45971
1169,-5.45375,-4.42323
1170,-5.45597,-4.34028
1171,-5.40486,-4.33804
1172,-5.49189,-4.41017
1173,-5.48932,-4.42315
1174,-5.51833,-4.42763
1175,-5.42387,-4.41239
1176,-5.47223,-4.39424
1177,-5.37035,-4.38108
1178,-5.34867,-4.29752
1179,-5.40365,-4.29571
1180,-5.46602,-4.41486
1181,-5.47541,-4.41076
1182,-5.5613,-4.52034
1183,-5.53505,-4.49956
1184,-5.47099,-4.44106
1185,-5.4571,-4.41994
1186,-5.49033,-4.42883
1187,-5.57071,-4.49946
1188,-5.51821,-4.50009
1189,-5.54044,-4.48423
1190,-5.62154,-4.60103
1191,-5.5754,-4.56526
1192,-5.58485,-4.54613
1193,-5.5334,-4.45444
1194,-5.66236,-4.62455
1195,-5.62822,-4.5531
1196,-5.68217,-4.61883
1197,-5.73714,-4.69735
1198,-5.70326,-4.65306
1199,-5.66978,-4.61469
1200,-5.70739,-4.6264
1201,-5.76067,-4.64381
1202,-5.75707,-4.69656
1203,-5.82846,-4.7921
1204,-5.81869,-4.75397
1205,-5.80924,-4.7797
1206,-5.84847,-4.79498
1207,-5.87877,-4.82526
1208,-5.83875,-4.78009
1209,-5.84582,-4.81293
1210,-5.8391,-4.76612
1211,-5.89083,-4.82803
1212,-5.90099,-4.8532
1213,-5.94382,-4.89833
1214,-5.95299,-4.93602
1215,-5.97128,-4.93388
1216,-5.985,-4.96366
1217,-6.0125,-4.99181
1218,-6.04513,-4.99422
1219,-6.02554,-4.9955
1220,-6.13567,-5.0914
1221,-6.17341,-5.15869
1222,-6.1962,-5.18032
1223,-6.17441,-5.13375
1224,-6.16755,-5.13904
1225,-6.23034,-5.20037
1226,-6.236,-5.21483
1227,-6.23094,-5.2143
1228,-6.27093,-5.26074
1229,-6.3252,-5.28792
1230,-6.33663,-5.28157
1231,-6.2695,-5.28495
1232,-6.38217,-5.33768
1233,-6.35897,-5.38701
1234,-6.41354,-5.41715
1235,-6.54483,-5.55362
1236,-6.51281,-5.4919
1237,-6.52137,-5.48059
1238,-6.50318,-5.50348
1239,-6.50031,-5.47284
1240,-6.50987,-5.50663
1241,-6.51517,-5.50687
1242,-6.56141,-5.54918
1243,-6.54442,-5.54484
1244,-6.5503,-5.4929
1245,-6.58529,-5.50361
1246,-6.61861,-5.64713
1247,-6.60507,-5.62266
1248,-6.60094,-5.59944
1249,-6.60298,-5.63894
1250,-6.63249,-5.62855
1251,-6.64612,-5.67493
1252,-6.66121,-5.66739
1253,-6.67547,-5.66977
1254,-6.58638,-5.64938
1255,-6.59221,-5.602
1256,-6.63423,-5.65877
1257,-6.63333,-5.64171
1258,-6.5646,-5.55432
1259,-6.58517,-5.59807
1260,-6.59384,-5.59378
1261,-6.59451,-5.6193
1262,-6.53349,-5.56004
1263,-6.52165,-5.55925
1264,-6.5278,-5.51262
1265,-6.53387,-5.60952
1266,-6.49695,-5.5326
1267,-6.48872,-5.51804
1268,-6.50278,-5.53997
1269,-6.48883,-5.50633
1270,-6.45599,-5.45774
1271,-6.38558,-5.4556
1272,-6.42945,-5.49572
1273,-6.42566,-5.43408
1274,-6.38076,-5.34817
1275,-6.25497,-5.31447
1276,-6.29007,-5.33855
1277,-6.31252,-5.35824
1278,-6.25678,-5.32602
1279,-6.19831,-5.21262
1280,-6.17967,-5.20395
1281,-6.09761,-5.13552
1282,-6.10857,-5.13375
1283,-6.0572,-5.1322
1284,-6.03782,-5.02715
1285,-6.02246,-5.02033
1286,-5.98445,-5.00343
1287,-5.9804,-4.97757
1288,-5.92144,-4.94997
1289,-5.90023,-4.86187
1290,-5.8644,-4.94912
1291,-5.76133,-4.74228
1292,-5.73085,-4.73847
1293,-5.84767,-4.85407
1294,-5.76313,-4.80125
1295,-5.66006,-4.69932
1296,-5.61707,-4.62266
1297,-5.62867,-4.60739
1298,-5.54754,-4.57931
1299,-5.54413,-4.58134
1300,-5.50831,-4.52326
1301,-5.51672,-4.56793
1302,-5.48518,-4.50932
1303,-5.48342,-4.55591
1304,-5.40129,-4.46327
1305,-5.37557,-4.46163
1306,-5.34585,-4.37237
1307,-5.33551,-4.3619
1308,-5.2603,-4.34708
1309,-5.22282,-4.26424
1310,-5.23679,-4.3079
1311,-5.19877,-4.31181
1312,-5.16679,-4.23212
1313,-5.12655,-4.221
1314,-5.09882,-4.1935
1315,-5.07204,-4.07038
1316,-5.01442,-4.09138
1317,-5.01325,-4.13883
1318,-4.92823,-4.02602
1319,-4.89516,-3.969
1320,-4.8615,-3.94452
1321,-4.86819,-3.96723
1322,-4.84425,-3.94983
1323,-4.76552,-3.88356
1324,-4.77705,-3.91293
1325,-4.706,-3.83735
1326,,-3.75957
1327,-4.6538,-3.82321
1328,-4.61687,-3.77029
1329,-4.56696,-3.74369
1330,-4.55395,-3.76536
1331,-4.4498,-3.66528
1332,-4.44426,-3.67149
1333,-4.46521,-3.64216
1334,-4.3702,-3.65065
1335,-4.4277,-3.62067
1336,-4.35918,-3.63272
1337,-4.33239,-3.55459
1338,-4.30184,-3.5439
1339,-4.26293,-3.5291
1340,-4.23492,-3.47923
1341,-4.26914,-3.52517
1342,-4.27168,-3.50079
1343,-4.17427,-3.42297
1344,-4.21916,-3.46711
1345,-4.15945,-3.37343
1346,-4.08761,-3.28176
1347,-4.12143,-3.30614
1348,-4.11078,-3.37597
1349,-4.10939,-3.27464
1350,-4.1438,-3.32973
1351,-4.167,-3.35447
1352,-4.12885,-3.36077
1353,-4.07758,-3.31697
1354,-4.1071,-3.30612
1355,-4.05879,-3.26009
1356,-4.05544,-3.23208
1357,-4.07187,-3.27545
1358,-4.08964,-3.30127
1359,-4.03685,-3.20921
1360,-4.11989,-3.29273
1361,-4.01653,-3.18415
1362,-4.05495,-3.21617
1363,-4.0224,-3.18564
1364,-4.04733,-3.25542
1365,-4.00088,-3.17411
1366,-4.06002,-3.24221
1367,-4.05385,-3.26506
1368,-4.01558,-3.19078
1369,-4.00734,-3.17286
1370,-4.03973,-3.23115
1371,-4.03761,-3.21488
1372,-4.08326,-3.28301
1373,-4.08655,-3.2235
1374,-4.0647,-3.22403
1375,-4.07702,-3.23825
1376,-4.05212,-3.26601
1377,-4.15349,-3.30027
1378,-4.16279,-3.35872
1379,-4.12957,-3.25946
1380,-4.17,-3.29411
1381,-4.14455,-3.25936
1382,-4.1715,-3.33013
1383,-4.15654,-3.33952
1384,-4.18344,-3.31579
1385,-4.20729,-3.37399
1386,-4.18864,-3.36202
1387,-4.22586,-3.38884
1388,-4.27602,-3.4215
1389,-4.29031,-3.42261
1390,-4.28204,-3.42246
1391,-4.34029,-3.49714
1392,-4.3018,-3.45885
1393,-4.29321,-3.41011
1394,-4.30267,-3.39016
1395,-4.42564,-3.55936
1396,-4.34996,-3.46313
1397,-4.40027,-3.53983
1398,-4.43745,-3.55311
1399,-4.43382,-3.52313
1400,-4.41602,-3.47193
1401,-4.44374,-3.51456
1402,-4.48987,-3.58303
1403,-4.5007,-3.55236
1404,-4.52194,-3.63239
1405,-4.55075,-3.62888
1406,-4.54545,-3.70281
1407,-4.56478,-3.69939
1408,-4.5756,-3.69039
1409,-4.5993,-3.72249
1410,-4.55486,-3.63542
1411,-4.54659,-3.57132
1412,-4.66367,-3.78794
1413,-4.68446,-3.75984
1414,-4.7055,-3.85983
1415,-4.69586,-3.8384
1416,-4.7627,-3.87047
1417,-4.74134,-3.78802
1418,-4.73034,-3.82076
1419,-4.76032,-3.86199
1420,-4.80361,-3.86428
1421,-4.80601,-3.93891
1422,-4.78092,-3.89215
1423,-4.83734,-3.92944
1424,-4.83511,-3.95756
1425,-4.84048,-3.89914
1426,-4.89934,-4.0024
1427,-4.87627,-3.98602
1428,-4.88423,-3.99188
1429,-4.88057,-3.9957
1430,-4.90977,-3.96974
1431,-4.90479,-4.04361
1432,-4.90767,-4.03825
1433,-4.99537,-4.0899
1434,-4.91849,-3.99494
1435,-4.892,-3.99897
1436,-4.89319,-3.92476
1437,-4.91303,-4.00385
1438,-4.87341,-3.98317
1439,-4.87606,-3.90895
1440,-4.93984,-4.06847
1441,-4.94986,-4.04795
1442,-4.88547,-4.02394
1443,-4.85377,-3.91991
1444,-4.86123,-3.95337
1445,-4.90562,-3.98991
1446,-4.87672,-3.99607
1447,-4.90196,-4.00697
1448,-4.88609,-3.8902
1449,-4.80911,-3.94611
1450,-4.80949,-3.8229
1451,-4.77675,-3.92505
1452,-4.79512,-3.87706
1453,-4.77444,-3.84495
1454,-4.79116,-3.85762
1455,-4.78464,-3.89272
1456,-4.73586,-3.81799
1457,-4.70011,-3.75426
1458,-4.69676,-3.79508
1459,-4.61392,-3.70195
1460,-4.58543,-3.66851
1461,-4.57539,-3.6494
1462,-4.6193,-3.63323
1463,-4.5893,-3.6444
1464,-4.53217,-3.60466
1465,-4.46834,-3.54991
1466,-4.4152,-3.49722
1467,-4.41457,-3.47717
1468,-4.36744,-3.41799
1469,-4.35756,-3.38788
1470,-4.34373,-3.35375
1471,-4.27075,-3.33219
1472,-4.3086,-3.38041
1473,-4.24288,-3.29129
1474,-4.18971,-3.19707
1475,-4.1341,-3.12604
1476,-4.04979,-3.08074
1477,-4.06897,-3.13335
1478,-4.03993,-3.02242
1479,-4.00946,-3.05885
1480,-4.00065,-3.06164
1481,-3.95608,-3.04125
1482,-3.89516,-2.97205
1483,-3.89414,-2.99797
1484,-3.85582,-2.88989
1485,-3.83902,-2.86825
1486,-3.78156,-2.75638
1487,-3.72385,-2.72851
1488,-3.75345,-2.78575
1489,-3.72248,-2.75513
1490,-3.68438,-2.73344
1491,-3.5741,-2.52063
1492,-3.65194,-2.69292
1493,-3.61732,-2.66406
1494,-3.61311,-2.64531
1495,-3.55766,-2.52922
1496,-3.51405,-2.52551
1497,-3.46264,-2.5028
1498,-3.47703,-2.56237
1499,-3.44742,-2.4415
1500,-3.36679,-2.38273
