AstroVIEW X
Type, Original
Time, 01/01/2002 12:21:47 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6013
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2478218 ,0.00370            ,-0.00072           ,-0.00128           ,-0.00090           
2478219 ,-0.00460           ,-0.01077           ,-0.00630           ,-0.00607           
2478220 ,0.00045            ,-0.00453           ,-0.00140           ,-0.00235           
2478221 ,0.00612            ,0.00432            ,0.00585            ,0.00202            
2478222 ,-0.00460           ,-0.00043           ,0.00155            ,-0.00640           
2478223 ,-0.01260           ,-0.00472           ,-0.00640           ,-0.01100           
2478224 ,-0.00088           ,0.00125            ,-0.00388           ,-0.00285           
2478225 ,0.00432            ,0.00005            ,-0.00083           ,0.00035            
2478226 ,-0.00330           ,-0.00972           ,-0.00477           ,-0.00438           
2478227 ,-0.00088           ,-0.00640           ,-0.00200           ,-0.00335           
2478228 ,0.00570            ,0.00270            ,0.00518            ,0.00173            
2478229 ,-0.00140           ,0.00040            ,0.00298            ,-0.00510           
2478230 ,-0.01243           ,-0.00453           ,-0.00583           ,-0.01088           
2478231 ,-0.00412           ,0.00005            ,-0.00560           ,-0.00445           
2478232 ,0.00378            ,0.00105            ,-0.00078           ,0.00090            
2478233 ,-0.00167           ,-0.00753           ,-0.00302           ,-0.00275           
2478234 ,-0.00238           ,-0.00690           ,-0.00278           ,-0.00393           
2478235 ,0.00420            ,0.00180            ,0.00398            ,0.00052            
2478236 ,0.00077            ,0.00170            ,0.00430            ,-0.00390           
2478237 ,-0.01090           ,-0.00355           ,-0.00422           ,-0.01008           
2478238 ,-0.00662           ,-0.00150           ,-0.00617           ,-0.00605           
2478239 ,0.00298            ,0.00068            ,-0.00072           ,0.00015            
2478240 ,0.00055            ,-0.00567           ,-0.00110           ,-0.00200           
2478241 ,-0.00220           ,-0.00735           ,-0.00320           ,-0.00440           
2478242 ,0.00337            ,0.00040            ,0.00245            ,-0.00072           
2478243 ,0.00307            ,0.00268            ,0.00540            ,-0.00298           
2478244 ,-0.00830           ,-0.00257           ,-0.00222           ,-0.00903           
2478245 ,-0.00853           ,-0.00343           ,-0.00655           ,-0.00743           
2478246 ,0.00132            ,-0.00117           ,-0.00125           ,-0.00148           
2478247 ,0.00280            ,-0.00488           ,0.00010            ,-0.00135           
2478248 ,-0.00130           ,-0.00707           ,-0.00290           ,-0.00393           
2478249 ,0.00235            ,-0.00120           ,0.00065            ,-0.00212           
2478250 ,0.00385            ,0.00257            ,0.00520            ,-0.00288           
2478251 ,-0.00538           ,-0.00145           ,-0.00117           ,-0.00848           
2478252 ,-0.00998           ,-0.00398           ,-0.00780           ,-0.00827           
2478253 ,-0.00152           ,-0.00252           ,-0.00393           ,-0.00320           
2478254 ,0.00277            ,-0.00420           ,-0.00033           ,-0.00102           
2478255 ,-0.00110           ,-0.00662           ,-0.00240           ,-0.00357           
2478256 ,0.00057            ,-0.00262           ,-0.00050           ,-0.00327           
2478257 ,0.00345            ,0.00200            ,0.00445            ,-0.00270           
2478258 ,-0.00283           ,0.00012            ,-0.00025           ,-0.00695           
2478259 ,-0.00948           ,-0.00312           ,-0.00800           ,-0.00730           
2478260 ,-0.00398           ,-0.00307           ,-0.00617           ,-0.00348           
2478261 ,0.00250            ,-0.00343           ,-0.00050           ,-0.00022           
2478262 ,0.00018            ,-0.00470           ,-0.00088           ,-0.00170           
2478263 ,-0.00045           ,-0.00260           ,-0.00043           ,-0.00315           
2478264 ,0.00202            ,0.00175            ,0.00420            ,-0.00275           
2478265 ,-0.00178           ,0.00150            ,0.00120            ,-0.00627           
2478266 ,-0.00927           ,-0.00150           ,-0.00650           ,-0.00735           
2478267 ,-0.00657           ,-0.00310           ,-0.00630           ,-0.00520           
2478268 ,0.00077            ,-0.00330           ,-0.00033           ,-0.00088           
2478269 ,0.00110            ,-0.00353           ,0.00082            ,-0.00122           
2478270 ,-0.00060           ,-0.00288           ,0.00040            ,-0.00322           
2478271 ,0.00143            ,0.00040            ,0.00362            ,-0.00375           
2478272 ,0.00005            ,0.00102            ,0.00187            ,-0.00607           
2478273 ,-0.00650           ,-0.00143           ,-0.00500           ,-0.00645           
2478274 ,-0.00762           ,-0.00465           ,-0.00610           ,-0.00557           
2478275 ,-0.00072           ,-0.00530           ,-0.00072           ,-0.00195           
2478276 ,0.00165            ,-0.00427           ,0.00110            ,-0.00083           
2478277 ,-0.00040           ,-0.00350           ,0.00023            ,-0.00243           
2478278 ,0.00048            ,-0.00162           ,0.00235            ,-0.00433           
2478279 ,0.00027            ,0.00012            ,0.00162            ,-0.00633           
2478280 ,-0.00440           ,-0.00083           ,-0.00427           ,-0.00648           
2478281 ,-0.00780           ,-0.00457           ,-0.00603           ,-0.00638           
2478282 ,-0.00243           ,-0.00640           ,-0.00210           ,-0.00360           
2478283 ,0.00232            ,-0.00430           ,0.00107            ,-0.00125           
2478284 ,0.00132            ,-0.00275           ,0.00045            ,-0.00228           
2478285 ,0.00050            ,-0.00175           ,0.00090            ,-0.00520           
2478286 ,0.00082            ,-0.00060           ,0.00040            ,-0.00730           
2478287 ,-0.00238           ,0.00002            ,-0.00398           ,-0.00620           
2478288 ,-0.00730           ,-0.00365           ,-0.00600           ,-0.00575           
2478289 ,-0.00430           ,-0.00700           ,-0.00355           ,-0.00417           
2478290 ,0.00132            ,-0.00505           ,0.00030            ,-0.00130           
2478291 ,0.00232            ,-0.00188           ,0.00145            ,-0.00078           
2478292 ,0.00015            ,-0.00162           ,0.00150            ,-0.00410           
2478293 ,0.00007            ,-0.00100           ,-0.00045           ,-0.00683           
2478294 ,-0.00120           ,0.00080            ,-0.00417           ,-0.00555           
2478295 ,-0.00570           ,-0.00255           ,-0.00593           ,-0.00427           
2478296 ,-0.00627           ,-0.00788           ,-0.00477           ,-0.00448           
2478297 ,-0.00115           ,-0.00677           ,-0.00100           ,-0.00210           
2478298 ,0.00243            ,-0.00205           ,0.00198            ,0.00005            
2478299 ,0.00015            ,-0.00183           ,0.00190            ,-0.00307           
2478300 ,-0.00088           ,-0.00217           ,-0.00102           ,-0.00733           
2478301 ,-0.00110           ,0.00020            ,-0.00450           ,-0.00607           
2478302 ,-0.00355           ,-0.00133           ,-0.00525           ,-0.00403           
2478303 ,-0.00707           ,-0.00733           ,-0.00457           ,-0.00465           
2478304 ,-0.00325           ,-0.00743           ,-0.00170           ,-0.00338           
2478305 ,0.00250            ,-0.00150           ,0.00210            ,0.00007            
2478306 ,0.00110            ,-0.00022           ,0.00252            ,-0.00235           
2478307 ,-0.00122           ,-0.00235           ,-0.00170           ,-0.00822           
2478308 ,-0.00107           ,-0.00088           ,-0.00485           ,-0.00735           
2478309 ,-0.00120           ,-0.00050           ,-0.00377           ,-0.00350           
2478310 ,-0.00650           ,-0.00638           ,-0.00355           ,-0.00380           
2478311 ,-0.00538           ,-0.00915           ,-0.00338           ,-0.00493           
2478312 ,0.00162            ,-0.00262           ,0.00165            ,-0.00017           
2478313 ,0.00305            ,0.00082            ,0.00403            ,-0.00085           
2478314 ,-0.00122           ,-0.00255           ,-0.00152           ,-0.00800           
2478315 ,-0.00188           ,-0.00138           ,-0.00572           ,-0.00870           
2478316 ,0.00055            ,0.00012            ,-0.00355           ,-0.00355           
2478317 ,-0.00472           ,-0.00517           ,-0.00285           ,-0.00280           
2478318 ,-0.00688           ,-0.01035           ,-0.00480           ,-0.00575           
2478319 ,0.00057            ,-0.00395           ,-0.00057           ,-0.00110           
2478320 ,0.00428            ,0.00168            ,0.00462            ,-0.00002           
2478321 ,-0.00102           ,-0.00178           ,-0.00055           ,-0.00710           
2478322 ,-0.00355           ,-0.00233           ,-0.00640           ,-0.01053           
2478323 ,0.00020            ,0.00082            ,-0.00398           ,-0.00438           
2478324 ,-0.00333           ,-0.00252           ,-0.00155           ,-0.00202           
2478325 ,-0.00895           ,-0.01027           ,-0.00505           ,-0.00667           
2478326 ,-0.00298           ,-0.00553           ,-0.00198           ,-0.00310           
2478327 ,0.00448            ,0.00235            ,0.00550            ,0.00012            
2478328 ,-0.00057           ,-0.00057           ,0.00100            ,-0.00607           
2478329 ,-0.00525           ,-0.00295           ,-0.00745           ,-0.01190           
2478330 ,-0.00015           ,0.00057            ,-0.00562           ,-0.00505           
2478331 ,-0.00085           ,-0.00075           ,-0.00155           ,-0.00080           
2478332 ,-0.00993           ,-0.00990           ,-0.00500           ,-0.00585           
2478333 ,-0.00635           ,-0.00700           ,-0.00362           ,-0.00405           
2478334 ,0.00395            ,0.00260            ,0.00543            ,0.00093            
2478335 ,0.00090            ,0.00068            ,0.00235            ,-0.00375           
2478336 ,-0.00517           ,-0.00395           ,-0.00775           ,-0.01240           
2478337 ,0.00007            ,-0.00052           ,-0.00727           ,-0.00580           
2478338 ,0.00275            ,0.00020            ,-0.00102           ,0.00052            
2478339 ,-0.00783           ,-0.00965           ,-0.00417           ,-0.00422           
2478340 ,-0.00865           ,-0.00967           ,-0.00517           ,-0.00520           
2478341 ,0.00348            ,0.00102            ,0.00445            ,0.00082            
2478342 ,0.00312            ,0.00148            ,0.00365            ,-0.00190           
2478343 ,-0.00488           ,-0.00490           ,-0.00762           ,-0.01205           
2478344 ,-0.00088           ,-0.00220           ,-0.00833           ,-0.00695           
2478345 ,0.00468            ,0.00148            ,-0.00030           ,0.00040            
2478346 ,-0.00575           ,-0.00788           ,-0.00257           ,-0.00327           
2478347 ,-0.01072           ,-0.01112           ,-0.00603           ,-0.00662           
2478348 ,0.00152            ,-0.00048           ,0.00343            ,-0.00045           
2478349 ,0.00493            ,0.00282            ,0.00487            ,-0.00072           
2478350 ,-0.00430           ,-0.00417           ,-0.00677           ,-0.01195           
2478351 ,-0.00262           ,-0.00357           ,-0.00972           ,-0.00960           
