"P0",
"Index [1]","dR [mm]"
0,0
1,0.00542459
2,0.00274203
3,0.000684293
4,0.0056427
5,0.00482286
6,0.000145466
7,0.0011873
8,0.00020643
9,0.00111577
10,0.00225499
11,0.00152448
12,0.00125931
13,0.000544183
14,0.00574184
15,0.00531663
16,0.00215832
17,-0.000934097
18,0.00415119
19,0.00169998
20,0.00393741
21,0.00450797
22,0.00230717
23,0.000304221
24,0.00496327
25,0.00385571
26,0.00615403
27,0.00153686
28,0.00807174
29,-0.000648755
30,0.00372272
31,0.00149114
32,0.00182842
33,0.00120263
34,0.00412098
35,0.00400745
36,0.00572398
37,0.0023146
38,0.00290834
39,0.00355067
40,0.00096062
41,-0.00126244
42,0.00292571
43,-0.00163787
44,-0.00158085
45,0.000150289
46,-0.00322292
47,0.00520222
48,0.00278511
49,0.00289328
50,0.000694375
51,0.00448344
52,0.00494304
53,0.00242326
54,0.000915085
55,0.00390679
56,0.00317612
57,0.0043051
58,0.00918322
59,0.00103433
60,0.00218294
61,0.00141857
62,0.00334909
63,0.00366358
64,0.000930409
65,0.00660668
66,0.00758597
67,0.00761841
68,0.00483651
69,0.0027088
70,0.00815921
71,0.00244872
72,0.00315143
73,0.00250577
74,0.00489089
75,-0.000924674
76,0.00512566
77,0.00175015
78,0.00306252
79,0.00464241
80,0.0112144
81,0.00404909
82,0.0073968
83,0.00709847
84,0.0117974
85,0.00950697
86,0.0108037
87,0.0100844
88,0.00890107
89,0.0126615
90,0.0117557
91,0.0138653
92,0.0154596
93,0.0158828
94,0.0166738
95,0.0149603
96,0.0157726
97,0.0187947
98,0.0219704
99,0.0207981
100,0.0199395
101,0.0232733
102,0.0247822
103,0.0273409
104,0.0286668
105,0.0343108
106,0.0366594
107,0.0385031
108,0.0391471
109,0.0423292
110,0.0435714
111,0.0457867
112,0.0522034
113,0.0518552
114,0.0548019
115,0.0524625
116,0.0572128
117,0.0607554
118,0.0550205
119,0.0650881
120,0.0686845
121,0.0683392
122,0.0700348
123,0.0735542
124,0.0744042
125,0.0650068
126,0.0538522
127,0.0499781
128,0.0387211
129,0.0193817
130,-0.000211783
131,-0.017708
132,-0.0487227
133,-0.0904385
134,-0.144265
135,-0.229048
136,-0.330746
137,-0.492941
138,-0.628396
139,-0.773062
140,-0.933315
141,-1.13074
142,-1.28705
143,-1.57425
144,-1.88734
145,-2.22342
146,-2.61503
147,-3.03144
148,-3.39296
149,-3.56477
150,-3.83855
151,-3.93129
152,-3.94157
153,-3.87189
154,-3.76807
155,-3.71091
156,-3.71809
157,-3.69188
158,-3.6307
159,-3.59616
160,-3.57934
161,-3.57828
162,-3.50349
163,-3.54914
164,-3.51627
165,-3.48384
166,-3.45024
167,-3.44304
168,-3.42868
169,-3.36961
170,-3.36178
171,-3.35106
172,-3.32648
173,-3.20764
174,-3.32815
175,-3.32741
176,-3.27928
177,-3.29954
178,-3.31212
179,-3.27258
180,-3.23667
181,-3.2434
182,-3.21497
183,-3.18242
184,-3.17234
185,-2.99197
186,-2.92788
187,-2.88953
188,-2.91931
189,-2.85096
190,-2.80003
191,-2.81169
192,-2.76282
193,-2.65292
194,-2.63757
195,-2.59435
196,-2.47511
197,-2.38005
198,-2.30583
199,-2.23751
200,-2.1657
201,-2.11283
202,-2.06432
203,-2.04062
204,-1.95153
205,-1.8983
206,-1.78382
207,-1.73983
208,-1.68905
209,-1.63147
210,-1.53726
211,-1.46714
212,-1.38171
213,-1.3092
214,-1.22702
215,-1.13238
216,-1.07396
217,-0.982739
218,-0.913887
219,-0.768925
220,-0.666963
221,-0.624346
222,-0.515236
223,-0.480105
224,-0.408934
225,-0.412494
226,-0.362355
227,-0.285486
228,-0.214746
229,-0.167674
230,-0.184586
231,-0.0770647
232,-0.0554762
233,-0.0708658
234,-0.0746016
235,0.020364
236,0.126174
237,0.128692
238,0.16122
239,0.151923
240,0.18843
241,0.196062
242,0.158373
243,0.188396
244,0.218088
245,0.195935
246,0.174313
247,0.158777
248,0.270122
249,0.324235
250,0.356543
251,0.443186
252,0.455575
253,0.493771
254,0.480926
255,0.527638
256,0.479824
257,0.470844
258,0.518791
259,0.606561
260,0.683273
261,0.697067
262,0.682942
263,0.76388
264,0.730146
265,0.71097
266,0.76918
267,0.700524
268,0.730768
269,0.788008
270,0.835325
271,0.851983
272,0.868626
273,0.845655
274,0.863419
275,0.872894
276,0.913404
277,0.9251
278,0.901622
279,0.827924
280,0.935631
281,0.970247
282,0.958596
283,0.955622
284,1.00626
285,1.0174
286,1.11439
287,1.07258
288,1.12109
289,1.12183
290,1.1366
291,1.28707
292,1.24077
293,1.15252
294,1.20687
295,1.28592
296,1.24715
297,1.20091
298,1.31099
299,1.3438
300,1.23094
301,1.34502
302,1.44794
303,1.3272
304,1.39905
305,1.47511
306,1.45808
307,1.37088
308,1.39908
309,1.47277
310,1.5005
311,1.54901
312,1.55239
313,1.50123
314,1.41645
315,1.48607
316,1.56294
317,1.40449
318,1.52868
319,1.68319
320,1.63591
321,1.574
322,1.60378
323,1.77639
324,1.82665
325,1.62856
326,1.66414
327,1.81701
328,1.83705
329,1.74474
330,1.73211
331,1.79062
332,1.78168
333,1.78748
334,1.81518
335,1.83562
336,1.89825
337,1.81382
338,1.84036
339,1.94011
340,1.93076
341,1.89521
342,1.84485
343,1.90043
344,1.86654
345,2.00177
346,1.97962
347,2.04041
348,1.87867
349,1.83621
350,1.88441
351,1.99927
352,1.86114
353,1.91545
354,1.93718
355,1.92387
356,1.99682
357,1.93428
358,1.93236
359,2.00318
360,2.01624
361,1.95093
362,1.87753
363,2.08752
364,2.14078
365,1.98263
366,1.95165
367,2.05497
368,2.03255
369,1.82751
370,1.96975
371,2.03956
372,1.98114
373,1.9866
374,2.0199
375,1.94912
376,1.93201
377,1.97544
378,2.03925
379,2.01069
380,1.94943
381,1.9037
382,2.05742
383,1.93741
384,1.95484
385,1.86588
386,1.84179
387,1.95802
388,1.8979
389,1.90826
390,1.87932
391,1.99601
392,1.91687
393,1.84256
394,1.86928
395,1.80241
396,1.85397
397,1.82952
398,1.71073
399,1.80905
400,1.88759
401,1.83642
402,1.65346
403,1.67495
404,1.65566
405,1.72258
406,1.59524
407,1.57299
408,1.71341
409,1.62957
410,1.55364
411,1.62296
412,1.6352
413,1.67431
414,1.66651
415,1.63435
416,1.61253
417,1.58031
418,1.56569
419,1.47671
420,1.64461
421,1.67308
422,1.6371
423,1.63908
424,1.75567
425,1.76754
426,1.61223
427,1.64635
428,1.76772
429,1.85112
430,1.65495
431,1.82121
432,1.89323
433,1.75858
434,1.69264
435,1.77561
436,1.86403
437,1.79507
438,1.78354
439,1.89424
440,2.04613
441,1.91222
442,1.85154
443,2.05082
444,1.94959
445,1.88291
446,1.84637
447,2.08783
448,2.17131
449,2.13867
450,2.0214
451,2.14915
452,2.21133
453,2.20058
454,2.14589
455,2.16089
456,2.37945
457,2.42345
458,2.34814
459,2.46531
460,2.48781
461,2.54377
462,2.46537
463,2.54186
464,2.67915
465,2.58747
466,2.62813
467,2.69762
468,2.75195
469,2.76805
470,2.79733
471,2.84382
472,2.86646
473,2.92522
474,2.93493
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,
511,
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
522,
523,
524,
525,
526,
527,
528,
529,
530,
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,
541,
542,
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
598,
599,
600,
601,4.81483
602,
603,4.75546
604,
605,4.87005
606,4.72264
607,4.61113
608,4.76723
609,4.68098
610,4.50869
611,4.5587
612,4.70763
613,4.56448
614,4.39615
615,4.54688
616,4.39165
617,4.37254
618,4.30602
619,4.2449
620,4.16958
621,4.22462
622,4.19985
623,4.1088
624,4.06205
625,3.99518
626,3.93564
627,3.90296
628,3.96773
629,3.91619
630,4.02994
631,3.9351
632,3.94318
633,3.82831
634,3.82459
