AstroVIEW X
Type, Original
Time, 01/01/2002 12:30:04 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6013
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
1897068 ,-0.01310           ,-0.01872           ,-0.01415           ,-0.01238           
1897069 ,0.00040            ,-0.00495           ,-0.00228           ,0.00165            
1897070 ,0.00077            ,0.00407            ,-0.00038           ,0.00068            
1897071 ,-0.01325           ,-0.00067           ,-0.01088           ,-0.01403           
1897072 ,-0.03347           ,-0.01195           ,-0.02192           ,-0.03227           
1897073 ,-0.04265           ,-0.01987           ,-0.02735           ,-0.04142           
1897074 ,-0.03320           ,-0.02270           ,-0.02555           ,-0.03478           
1897075 ,-0.01575           ,-0.02055           ,-0.01553           ,-0.01672           
1897076 ,-0.00183           ,-0.00917           ,-0.00422           ,-0.00150           
1897077 ,0.00052            ,-0.00122           ,-0.00165           ,-0.00060           
1897078 ,-0.01180           ,-0.00445           ,-0.01148           ,-0.01338           
1897079 ,-0.03077           ,-0.01320           ,-0.02190           ,-0.03010           
1897080 ,-0.04190           ,-0.01890           ,-0.02710           ,-0.03895           
1897081 ,-0.03518           ,-0.02182           ,-0.02580           ,-0.03410           
1897082 ,-0.01825           ,-0.01945           ,-0.01645           ,-0.01775           
1897083 ,-0.00367           ,-0.00765           ,-0.00510           ,-0.00220           
1897084 ,0.00023            ,0.00110            ,-0.00172           ,0.00070            
1897085 ,-0.00993           ,-0.00162           ,-0.01058           ,-0.01043           
1897086 ,-0.02785           ,-0.01100           ,-0.02027           ,-0.02720           
1897087 ,-0.03963           ,-0.01700           ,-0.02550           ,-0.03640           
1897088 ,-0.03508           ,-0.01995           ,-0.02503           ,-0.03300           
1897089 ,-0.01950           ,-0.01900           ,-0.01693           ,-0.01808           
1897090 ,-0.00477           ,-0.00888           ,-0.00575           ,-0.00325           
1897091 ,-0.00015           ,-0.00020           ,-0.00220           ,-0.00025           
1897092 ,-0.00922           ,-0.00252           ,-0.01035           ,-0.01030           
1897093 ,-0.02570           ,-0.01243           ,-0.01937           ,-0.02605           
1897094 ,-0.03775           ,-0.01855           ,-0.02418           ,-0.03585           
1897095 ,-0.03587           ,-0.02072           ,-0.02345           ,-0.03520           
1897096 ,-0.02215           ,-0.01998           ,-0.01680           ,-0.02248           
1897097 ,-0.00727           ,-0.01088           ,-0.00660           ,-0.00733           
1897098 ,-0.00190           ,-0.00252           ,-0.00260           ,-0.00225           
1897099 ,-0.00920           ,-0.00445           ,-0.00970           ,-0.00965           
1897100 ,-0.02353           ,-0.01325           ,-0.01800           ,-0.02377           
1897101 ,-0.03545           ,-0.01863           ,-0.02203           ,-0.03342           
1897102 ,-0.03650           ,-0.02093           ,-0.02213           ,-0.03452           
1897103 ,-0.02530           ,-0.02082           ,-0.01675           ,-0.02387           
1897104 ,-0.01085           ,-0.01295           ,-0.00798           ,-0.00960           
1897105 ,-0.00410           ,-0.00515           ,-0.00403           ,-0.00340           
1897106 ,-0.00930           ,-0.00635           ,-0.01038           ,-0.01003           
1897107 ,-0.02250           ,-0.01462           ,-0.01798           ,-0.02342           
1897108 ,-0.03347           ,-0.01955           ,-0.02208           ,-0.03295           
1897109 ,-0.03625           ,-0.02050           ,-0.02198           ,-0.03485           
1897110 ,-0.02740           ,-0.02008           ,-0.01717           ,-0.02610           
1897111 ,-0.01382           ,-0.01275           ,-0.00893           ,-0.01267           
1897112 ,-0.00638           ,-0.00512           ,-0.00538           ,-0.00555           
1897113 ,-0.00990           ,-0.00620           ,-0.01153           ,-0.01062           
1897114 ,-0.02130           ,-0.01415           ,-0.01855           ,-0.02220           
1897115 ,-0.03123           ,-0.01853           ,-0.02200           ,-0.03140           
1897116 ,-0.03485           ,-0.01910           ,-0.02177           ,-0.03390           
1897117 ,-0.02858           ,-0.01863           ,-0.01727           ,-0.02748           
1897118 ,-0.01603           ,-0.01143           ,-0.00977           ,-0.01565           
1897119 ,-0.00810           ,-0.00370           ,-0.00607           ,-0.00822           
1897120 ,-0.01043           ,-0.00410           ,-0.01188           ,-0.01115           
1897121 ,-0.02000           ,-0.01188           ,-0.01837           ,-0.02113           
1897122 ,-0.02840           ,-0.01540           ,-0.02172           ,-0.02900           
1897123 ,-0.03258           ,-0.01563           ,-0.02175           ,-0.03105           
1897124 ,-0.02903           ,-0.01570           ,-0.01850           ,-0.02600           
1897125 ,-0.01822           ,-0.01012           ,-0.01193           ,-0.01553           
1897126 ,-0.01022           ,-0.00357           ,-0.00833           ,-0.00885           
1897127 ,-0.01160           ,-0.00453           ,-0.01303           ,-0.01135           
1897128 ,-0.01927           ,-0.01255           ,-0.01830           ,-0.02015           
1897129 ,-0.02648           ,-0.01682           ,-0.02075           ,-0.02703           
1897130 ,-0.03095           ,-0.01705           ,-0.02035           ,-0.02918           
1897131 ,-0.02997           ,-0.01693           ,-0.01720           ,-0.02587           
1897132 ,-0.02122           ,-0.01185           ,-0.01198           ,-0.01735           
1897133 ,-0.01282           ,-0.00588           ,-0.00955           ,-0.01038           
1897134 ,-0.01308           ,-0.00680           ,-0.01470           ,-0.01162           
1897135 ,-0.01890           ,-0.01440           ,-0.01950           ,-0.01900           
1897136 ,-0.02418           ,-0.01760           ,-0.02117           ,-0.02527           
1897137 ,-0.02768           ,-0.01708           ,-0.02008           ,-0.02770           
1897138 ,-0.02918           ,-0.01615           ,-0.01663           ,-0.02577           
1897139 ,-0.02263           ,-0.01127           ,-0.01208           ,-0.01945           
1897140 ,-0.01493           ,-0.00633           ,-0.01015           ,-0.01300           
1897141 ,-0.01453           ,-0.00762           ,-0.01503           ,-0.01312           
1897142 ,-0.01917           ,-0.01590           ,-0.01948           ,-0.01887           
1897143 ,-0.02315           ,-0.01922           ,-0.02027           ,-0.02387           
1897144 ,-0.02545           ,-0.01810           ,-0.01855           ,-0.02658           
1897145 ,-0.02832           ,-0.01630           ,-0.01513           ,-0.02565           
1897146 ,-0.02450           ,-0.01185           ,-0.01155           ,-0.02087           
1897147 ,-0.01722           ,-0.00727           ,-0.01103           ,-0.01495           
1897148 ,-0.01610           ,-0.00865           ,-0.01622           ,-0.01472           
1897149 ,-0.01953           ,-0.01705           ,-0.02072           ,-0.01903           
1897150 ,-0.02163           ,-0.02000           ,-0.02113           ,-0.02245           
1897151 ,-0.02292           ,-0.01822           ,-0.01895           ,-0.02422           
1897152 ,-0.02648           ,-0.01605           ,-0.01493           ,-0.02435           
1897153 ,-0.02532           ,-0.01155           ,-0.01153           ,-0.02148           
1897154 ,-0.02003           ,-0.00730           ,-0.01162           ,-0.01727           
1897155 ,-0.01815           ,-0.00910           ,-0.01700           ,-0.01625           
1897156 ,-0.02060           ,-0.01780           ,-0.02053           ,-0.01932           
1897157 ,-0.02168           ,-0.02122           ,-0.02032           ,-0.02165           
1897158 ,-0.02113           ,-0.01887           ,-0.01760           ,-0.02263           
1897159 ,-0.02430           ,-0.01615           ,-0.01362           ,-0.02270           
1897160 ,-0.02537           ,-0.01193           ,-0.01060           ,-0.02108           
1897161 ,-0.02158           ,-0.00770           ,-0.01165           ,-0.01877           
1897162 ,-0.02025           ,-0.00995           ,-0.01777           ,-0.01877           
1897163 ,-0.02172           ,-0.01903           ,-0.02132           ,-0.02065           
1897164 ,-0.02137           ,-0.02213           ,-0.02040           ,-0.02063           
1897165 ,-0.01995           ,-0.01935           ,-0.01700           ,-0.01960           
1897166 ,-0.02213           ,-0.01567           ,-0.01285           ,-0.02027           
1897167 ,-0.02608           ,-0.01043           ,-0.00990           ,-0.01993           
1897168 ,-0.02415           ,-0.00657           ,-0.01203           ,-0.01898           
1897169 ,-0.02250           ,-0.00975           ,-0.01865           ,-0.01932           
1897170 ,-0.02387           ,-0.01953           ,-0.02270           ,-0.02032           
1897171 ,-0.02208           ,-0.02320           ,-0.02130           ,-0.01915           
1897172 ,-0.01855           ,-0.02015           ,-0.01722           ,-0.01703           
1897173 ,-0.02005           ,-0.01613           ,-0.01250           ,-0.01803           
1897174 ,-0.02600           ,-0.01075           ,-0.00955           ,-0.01977           
1897175 ,-0.02663           ,-0.00643           ,-0.01222           ,-0.02205           
1897176 ,-0.02537           ,-0.00888           ,-0.01995           ,-0.02422           
1897177 ,-0.02532           ,-0.01898           ,-0.02400           ,-0.02472           
1897178 ,-0.02227           ,-0.02313           ,-0.02230           ,-0.02270           
1897179 ,-0.01727           ,-0.02013           ,-0.01745           ,-0.02025           
1897180 ,-0.01720           ,-0.01565           ,-0.01205           ,-0.02085           
1897181 ,-0.02382           ,-0.01025           ,-0.00893           ,-0.02270           
1897182 ,-0.02682           ,-0.00588           ,-0.01210           ,-0.02513           
1897183 ,-0.02663           ,-0.00943           ,-0.02065           ,-0.02763           
1897184 ,-0.02640           ,-0.02032           ,-0.02515           ,-0.02768           
1897185 ,-0.02218           ,-0.02465           ,-0.02305           ,-0.02432           
1897186 ,-0.01535           ,-0.02117           ,-0.01758           ,-0.01993           
1897187 ,-0.01427           ,-0.01550           ,-0.01160           ,-0.01960           
1897188 ,-0.02105           ,-0.00898           ,-0.00788           ,-0.02135           
1897189 ,-0.02700           ,-0.00405           ,-0.01125           ,-0.02468           
