"P0",
"Index [1]","dR [mm]"
0,0
1,-0.0026176
2,-0.000865292
3,-0.00821329
4,-0.009041
5,-0.00927149
6,-0.00626002
7,-0.00438069
8,-0.0142479
9,-0.0120959
10,-0.0155398
11,-0.0250119
12,-0.0246739
13,-0.0288654
14,-0.0334588
15,-0.0241739
16,-0.0316214
17,-0.0315963
18,-0.0393395
19,-0.0332974
20,-0.0461251
21,-0.0415034
22,-0.0376296
23,-0.0459291
24,-0.0563049
25,-0.0490565
26,-0.0565155
27,-0.0557482
28,-0.06326
29,-0.0632163
30,-0.0654808
31,-0.067435
32,-0.0685504
33,-0.0813893
34,-0.0780899
35,-0.0792131
36,-0.0840472
37,-0.0875079
38,-0.085699
39,-0.0963903
40,-0.0913097
41,-0.105797
42,-0.107125
43,-0.106585
44,-0.113964
45,-0.122634
46,-0.124924
47,-0.128764
48,-0.132213
49,-0.137068
50,-0.140445
51,-0.141125
52,-0.152199
53,-0.155473
54,-0.155761
55,-0.167591
56,-0.17131
57,-0.18379
58,-0.177997
59,-0.190365
60,-0.196082
61,-0.203207
62,-0.21147
63,-0.223939
64,-0.231166
65,-0.24347
66,-0.234524
67,-0.245322
68,-0.25897
69,-0.262448
70,-0.269886
71,-0.276906
72,-0.28612
73,-0.296972
74,-0.305474
75,-0.319423
76,-0.33514
77,-0.344746
78,-0.351192
79,-0.371326
80,-0.383355
81,-0.403937
82,-0.408979
83,-0.432804
84,-0.445539
85,-0.455911
86,-0.481424
87,-0.495557
88,-0.519084
89,-0.542364
90,-0.562559
91,-0.588474
92,-0.604089
93,-0.627471
94,-0.662389
95,-0.690115
96,-0.714928
97,-0.748345
98,-0.780688
99,-0.812183
100,-0.854057
101,-0.895523
102,-0.94951
103,-0.998551
104,-1.05086
105,-1.10856
106,-1.16361
107,-1.2305
108,-1.30471
109,-1.37325
110,-1.44223
111,-1.53713
112,-1.62037
113,-1.72086
114,-1.81824
115,-1.93423
116,-2.05779
117,-2.19417
118,-2.33542
119,-2.47836
120,-2.62829
121,-2.80199
122,-2.9799
123,-3.16786
124,-3.36486
125,-3.57412
126,-3.79837
127,-4.03422
128,-4.29003
129,-4.55353
130,-4.84053
131,-5.11659
132,-5.42288
133,-5.72503
134,-6.054
135,-6.39345
136,-6.72593
137,-7.0432
138,-7.42253
139,-7.77916
140,-8.12061
141,-8.509
142,-8.97966
143,-9.50149
144,-10.0564
145,-10.7035
146,-11.3859
147,-12.1553
148,-12.905
149,-13.536
150,-14.0528
151,-14.1957
152,-14.1386
153,-14.0844
154,-14.0431
155,-14.002
156,-13.9326
157,-13.8936
158,-13.8979
159,-13.8962
160,-13.9056
161,-13.9018
162,-13.8754
163,-13.8528
164,-13.8093
165,-13.7824
166,-13.7557
167,-13.7396
168,-13.7325
169,-13.7077
170,-13.7232
171,-13.7213
172,-13.7002
173,-13.6933
174,-13.6872
175,-13.6443
176,-13.6411
177,-13.6093
178,-13.6089
179,-13.6283
180,-13.6496
181,-13.6556
182,-13.6368
183,-13.684
184,-13.6157
185,-13.6231
186,-13.6477
187,-13.6619
188,-13.6545
189,-13.5908
190,-13.5815
191,-13.56
192,-13.5263
193,-13.5213
194,-13.4453
195,-13.4266
196,-13.3841
197,-13.3688
198,-13.3686
199,-13.3488
200,-13.2911
201,-13.1872
202,-13.1784
203,-13.1207
204,-13.1118
205,-13.0676
206,-13.0461
207,-12.8473
208,-12.9232
209,-12.9315
210,-12.8136
211,-12.7707
212,-12.7033
213,-12.6806
214,-12.6307
215,-12.5966
216,-12.5324
217,-12.4785
218,-12.4496
219,-12.3786
220,-12.3396
221,-12.3055
222,-12.287
223,-12.2457
224,-12.235
225,-12.1465
226,-12.1485
227,-12.0921
228,-12.0075
229,-11.9774
230,-11.9078
231,-11.8651
232,-11.8173
233,-11.7355
234,-11.6689
235,-11.6041
236,-11.5807
237,-11.5349
238,-11.498
239,-11.4187
240,-11.3741
241,-11.338
242,-11.309
243,-11.2208
244,-11.1503
245,-11.0922
246,-11.0404
247,-11.0181
248,-10.983
249,-10.9095
250,-10.8658
251,-10.8591
252,-10.8001
253,-10.7176
254,-10.6266
255,-10.5858
256,-10.5221
257,-10.4423
258,-10.4431
259,-10.3202
260,-10.3572
261,-10.296
262,-10.21
263,-10.1085
264,-10.0772
265,-10.065
266,-10.0496
267,-10.0485
268,-9.98893
269,-9.89719
270,-9.87027
271,-9.87818
272,-9.80542
273,-9.78576
274,-9.76468
275,-9.6906
276,-9.70064
277,-9.69315
278,-9.60979
279,-9.58187
280,-9.52402
281,-9.47502
282,-9.46942
283,-9.43303
284,-9.41596
285,-9.3476
286,-9.29829
287,-9.23296
288,-9.22123
289,-9.17327
290,-9.13921
291,-9.13266
292,-9.11008
293,-9.08745
294,-9.02325
295,-8.97394
296,-8.96051
297,-8.92409
298,-8.86261
299,-8.85016
300,-8.77625
301,-8.78103
302,-8.73315
303,-8.6915
304,-8.65164
305,-8.62178
306,-8.59819
307,-8.60371
308,-8.55112
309,-8.49408
310,-8.4411
311,-8.4553
312,-8.40713
313,-8.38174
314,-8.30414
315,-8.33663
316,-8.30537
317,-8.29593
318,-8.27991
319,-8.24087
320,-8.1658
321,-8.14481
322,-8.17323
323,-8.14252
324,-8.18283
325,-8.14317
326,-8.0695
327,-8.05242
328,-7.99092
329,-7.94688
330,-7.97472
331,-7.94482
332,-7.92422
333,-7.94939
334,-7.9249
335,-7.93259
336,-7.87394
337,-7.84028
338,-7.84618
339,-7.83847
340,-7.83045
341,-7.81049
342,-7.78878
343,-7.78968
344,-7.82689
345,-7.81884
346,-7.79851
347,-7.79713
348,-7.77909
349,-7.77312
350,-7.75903
351,-7.73509
352,-7.72514
353,-7.72744
354,-7.7477
355,-7.71662
356,-7.70145
357,-7.67562
358,-7.69578
359,-7.71037
360,-7.69541
361,-7.67848
362,-7.69382
363,-7.69483
364,-7.73002
365,-7.73498
366,-7.73574
367,-7.70248
368,-7.72529
369,-7.72464
370,-7.76536
371,-7.77541
372,-7.78588
373,-7.76588
374,-7.7779
375,-7.80768
376,-7.86193
377,-7.82857
378,-7.82299
379,-7.83233
380,-7.8109
381,-7.89146
382,-7.87759
383,-7.86069
384,-7.85643
385,-7.85893
386,-7.88
387,-7.90455
388,-7.9423
389,-7.96422
390,-7.97383
391,-7.99023
392,-7.97607
393,-7.94216
394,-8.00836
395,-8.0075
396,-8.06264
397,-8.056
398,-8.06758
399,-8.10111
400,-8.11645
401,-8.08268
402,-8.10782
403,-8.11146
404,-8.1217
405,-8.18381
406,-8.19082
407,-8.18923
408,-8.20823
409,-8.20275
410,-8.25625
411,-8.29698
412,-8.29965
413,-8.32996
414,-8.27944
415,-8.32658
416,-8.35517
417,-8.39333
418,-8.39967
419,-8.41398
420,-8.42595
421,-8.45604
422,-8.46186
423,-8.49916
424,-8.54368
425,-8.55259
426,-8.59152
427,-8.58513
428,-8.57105
429,-8.62358
430,-8.66568
431,-8.69856
432,-8.68342
433,-8.71374
434,-8.70931
435,-8.78634
436,-8.78986
437,-8.84371
438,-8.84375
439,-8.87887
440,-8.8866
441,-8.92867
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,
466,
467,
468,
469,
470,
471,
472,
473,
474,
475,-9.8735
476,
477,-9.981
478,-9.99748
479,-10.017
480,
481,-10.1171
482,-10.1002
483,-10.1347
484,-10.1914
485,-10.2818
486,-10.2986
487,-10.3289
488,-10.3971
489,-10.4119
490,-10.4536
491,-10.4634
492,-10.5005
493,-10.5339
494,-10.6303
495,-10.6772
496,-10.6444
497,-10.6933
498,-10.7099
499,-10.7628
