AstroVIEW X
Type, Original
Time, 01/01/2002 12:14:35 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 10223
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2359363 ,0.00950            ,0.00100            ,0.00767            ,0.00512            
2359364 ,0.00100            ,-0.00548           ,0.01630            ,-0.00498           
2359365 ,-0.00462           ,-0.00715           ,0.01245            ,-0.00877           
2359366 ,-0.00615           ,-0.00465           ,-0.00327           ,-0.00612           
2359367 ,-0.00633           ,0.00023            ,-0.01510           ,-0.00102           
2359368 ,-0.00122           ,0.00723            ,-0.01443           ,0.00603            
2359369 ,0.00748            ,0.00860            ,-0.00557           ,0.01017            
2359370 ,0.01178            ,0.00205            ,0.00615            ,0.00642            
2359371 ,0.00407            ,-0.00493           ,0.01613            ,-0.00338           
2359372 ,-0.00348           ,-0.00748           ,0.01353            ,-0.00833           
2359373 ,-0.00610           ,-0.00607           ,-0.00207           ,-0.00675           
2359374 ,-0.00683           ,-0.00095           ,-0.01480           ,-0.00200           
2359375 ,-0.00322           ,0.00640            ,-0.01500           ,0.00518            
2359376 ,0.00593            ,0.00907            ,-0.00662           ,0.01015            
2359377 ,0.01272            ,0.00343            ,0.00515            ,0.00778            
2359378 ,0.00690            ,-0.00302           ,0.01608            ,-0.00165           
2359379 ,-0.00243           ,-0.00633           ,0.01462            ,-0.00760           
2359380 ,-0.00648           ,-0.00580           ,0.00000            ,-0.00683           
2359381 ,-0.00767           ,-0.00170           ,-0.01395           ,-0.00220           
2359382 ,-0.00588           ,0.00568            ,-0.01545           ,0.00510            
2359383 ,0.00302            ,0.00912            ,-0.00793           ,0.01095            
2359384 ,0.01278            ,0.00453            ,0.00357            ,0.00915            
2359385 ,0.01067            ,-0.00180           ,0.01540            ,-0.00028           
2359386 ,-0.00033           ,-0.00557           ,0.01642            ,-0.00775           
2359387 ,-0.00617           ,-0.00615           ,0.00220            ,-0.00898           
2359388 ,-0.00795           ,-0.00370           ,-0.01277           ,-0.00543           
2359389 ,-0.00810           ,0.00370            ,-0.01620           ,0.00223            
2359390 ,-0.00017           ,0.00803            ,-0.00953           ,0.00942            
2359391 ,0.01092            ,0.00462            ,0.00152            ,0.00978            
2359392 ,0.01345            ,-0.00102           ,0.01453            ,0.00150            
2359393 ,0.00287            ,-0.00467           ,0.01670            ,-0.00588           
2359394 ,-0.00503           ,-0.00595           ,0.00393            ,-0.00805           
2359395 ,-0.00788           ,-0.00438           ,-0.01160           ,-0.00577           
2359396 ,-0.00893           ,0.00250            ,-0.01617           ,0.00073            
2359397 ,-0.00260           ,0.00750            ,-0.01085           ,0.00835            
2359398 ,0.00892            ,0.00548            ,-0.00030           ,0.00980            
2359399 ,0.01487            ,0.00010            ,0.01278            ,0.00265            
2359400 ,0.00618            ,-0.00317           ,0.01738            ,-0.00475           
2359401 ,-0.00355           ,-0.00538           ,0.00603            ,-0.00770           
2359402 ,-0.00760           ,-0.00465           ,-0.00962           ,-0.00653           
2359403 ,-0.00955           ,0.00180            ,-0.01513           ,-0.00093           
2359404 ,-0.00480           ,0.00687            ,-0.01058           ,0.00665            
2359405 ,0.00667            ,0.00550            ,-0.00085           ,0.00905            
2359406 ,0.01525            ,0.00073            ,0.01267            ,0.00300            
2359407 ,0.00967            ,-0.00243           ,0.01797            ,-0.00398           
2359408 ,-0.00183           ,-0.00483           ,0.00828            ,-0.00748           
2359409 ,-0.00775           ,-0.00522           ,-0.00772           ,-0.00727           
2359410 ,-0.00998           ,0.00050            ,-0.01430           ,-0.00198           
2359411 ,-0.00667           ,0.00580            ,-0.01098           ,0.00570            
2359412 ,0.00412            ,0.00520            ,-0.00225           ,0.00935            
2359413 ,0.01503            ,0.00023            ,0.01080            ,0.00440            
2359414 ,0.01305            ,-0.00238           ,0.01715            ,-0.00278           
2359415 ,0.00082            ,-0.00430           ,0.00917            ,-0.00667           
2359416 ,-0.00743           ,-0.00557           ,-0.00660           ,-0.00720           
2359417 ,-0.01035           ,-0.00062           ,-0.01432           ,-0.00333           
2359418 ,-0.00872           ,0.00500            ,-0.01210           ,0.00487            
2359419 ,0.00165            ,0.00540            ,-0.00405           ,0.00950            
2359420 ,0.01353            ,0.00093            ,0.00895            ,0.00560            
2359421 ,0.01578            ,-0.00172           ,0.01645            ,-0.00195           
2359422 ,0.00405            ,-0.00362           ,0.00987            ,-0.00612           
2359423 ,-0.00603           ,-0.00548           ,-0.00550           ,-0.00757           
2359424 ,-0.01053           ,-0.00148           ,-0.01325           ,-0.00412           
2359425 ,-0.00970           ,0.00432            ,-0.01198           ,0.00375            
2359426 ,-0.00078           ,0.00565            ,-0.00443           ,0.00905            
2359427 ,0.01183            ,0.00137            ,0.00840            ,0.00625            
2359428 ,0.01697            ,-0.00115           ,0.01633            ,-0.00083           
2359429 ,0.00748            ,-0.00300           ,0.01087            ,-0.00515           
2359430 ,-0.00455           ,-0.00483           ,-0.00385           ,-0.00700           
2359431 ,-0.01105           ,-0.00200           ,-0.01235           ,-0.00480           
2359432 ,-0.01122           ,0.00362            ,-0.01205           ,0.00328            
2359433 ,-0.00398           ,0.00532            ,-0.00553           ,0.00865            
2359434 ,0.00878            ,0.00157            ,0.00670            ,0.00705            
2359435 ,0.01688            ,-0.00040           ,0.01540            ,0.00040            
2359436 ,0.01120            ,-0.00190           ,0.01130            ,-0.00390           
2359437 ,-0.00267           ,-0.00422           ,-0.00255           ,-0.00650           
2359438 ,-0.01125           ,-0.00225           ,-0.01140           ,-0.00512           
2359439 ,-0.01262           ,0.00265            ,-0.01190           ,0.00190            
2359440 ,-0.00643           ,0.00485            ,-0.00655           ,0.00820            
2359441 ,0.00582            ,0.00105            ,0.00505            ,0.00765            
2359442 ,0.01622            ,-0.00055           ,0.01397            ,0.00112            
2359443 ,0.01415            ,-0.00175           ,0.01135            ,-0.00312           
2359444 ,0.00012            ,-0.00383           ,-0.00105           ,-0.00590           
2359445 ,-0.01027           ,-0.00283           ,-0.00962           ,-0.00560           
2359446 ,-0.01310           ,0.00187            ,-0.01148           ,0.00087            
2359447 ,-0.00807           ,0.00470            ,-0.00700           ,0.00740            
2359448 ,0.00350            ,0.00145            ,0.00378            ,0.00787            
2359449 ,0.01515            ,-0.00052           ,0.01297            ,0.00170            
2359450 ,0.01655            ,-0.00090           ,0.01083            ,-0.00240           
2359451 ,0.00285            ,-0.00290           ,-0.00102           ,-0.00480           
2359452 ,-0.01003           ,-0.00243           ,-0.00907           ,-0.00505           
2359453 ,-0.01390           ,0.00195            ,-0.01085           ,0.00023            
2359454 ,-0.00970           ,0.00450            ,-0.00735           ,0.00678            
2359455 ,0.00073            ,0.00127            ,0.00257            ,0.00748            
2359456 ,0.01297            ,-0.00028           ,0.01198            ,0.00165            
2359457 ,0.01765            ,-0.00050           ,0.01078            ,-0.00255           
2359458 ,0.00705            ,-0.00165           ,-0.00052           ,-0.00448           
2359459 ,-0.00795           ,-0.00193           ,-0.00788           ,-0.00520           
2359460 ,-0.01382           ,0.00205            ,-0.01015           ,-0.00050           
2359461 ,-0.01117           ,0.00453            ,-0.00743           ,0.00593            
2359462 ,-0.00202           ,0.00152            ,0.00210            ,0.00757            
2359463 ,0.01053            ,-0.00020           ,0.01128            ,0.00252            
2359464 ,0.01760            ,-0.00048           ,0.01100            ,-0.00157           
2359465 ,0.01120            ,-0.00130           ,0.00027            ,-0.00343           
2359466 ,-0.00498           ,-0.00167           ,-0.00670           ,-0.00465           
2359467 ,-0.01355           ,0.00140            ,-0.00885           ,-0.00105           
2359468 ,-0.01153           ,0.00398            ,-0.00680           ,0.00493            
2359469 ,-0.00380           ,0.00115            ,0.00150            ,0.00742            
2359470 ,0.00803            ,-0.00107           ,0.01037            ,0.00265            
2359471 ,0.01675            ,-0.00072           ,0.01053            ,-0.00175           
2359472 ,0.01405            ,-0.00133           ,0.00027            ,-0.00360           
2359473 ,-0.00230           ,-0.00195           ,-0.00633           ,-0.00440           
2359474 ,-0.01290           ,0.00127            ,-0.00820           ,-0.00195           
2359475 ,-0.01240           ,0.00315            ,-0.00657           ,0.00375            
2359476 ,-0.00527           ,0.00077            ,0.00112            ,0.00675            
2359477 ,0.00570            ,-0.00162           ,0.00990            ,0.00265            
2359478 ,0.01567            ,-0.00125           ,0.01010            ,-0.00180           
2359479 ,0.01608            ,-0.00148           ,0.00015            ,-0.00307           
2359480 ,0.00165            ,-0.00185           ,-0.00593           ,-0.00367           
2359481 ,-0.01203           ,0.00110            ,-0.00762           ,-0.00175           
2359482 ,-0.01340           ,0.00295            ,-0.00588           ,0.00310            
2359483 ,-0.00672           ,0.00030            ,0.00057            ,0.00587            
2359484 ,0.00325            ,-0.00212           ,0.00928            ,0.00265            
2359485 ,0.01380            ,-0.00178           ,0.00992            ,-0.00175           
2359486 ,0.01675            ,-0.00140           ,0.00020            ,-0.00325           
2359487 ,0.00575            ,-0.00157           ,-0.00598           ,-0.00310           
2359488 ,-0.00998           ,0.00143            ,-0.00700           ,-0.00165           
2359489 ,-0.01372           ,0.00295            ,-0.00533           ,0.00282            
2359490 ,-0.00798           ,0.00055            ,0.00025            ,0.00565            
2359491 ,0.00080            ,-0.00245           ,0.00887            ,0.00248            
2359492 ,0.01087            ,-0.00200           ,0.00960            ,-0.00230           
2359493 ,0.01592            ,-0.00130           ,-0.00007           ,-0.00365           
2359494 ,0.00855            ,-0.00135           ,-0.00660           ,-0.00338           
2359495 ,-0.00772           ,0.00173            ,-0.00703           ,-0.00200           
2359496 ,-0.01420           ,0.00332            ,-0.00517           ,0.00185            
2359497 ,-0.00935           ,0.00093            ,0.00025            ,0.00440            
2359498 ,-0.00145           ,-0.00262           ,0.00860            ,0.00152            
2359499 ,0.00828            ,-0.00283           ,0.00935            ,-0.00335           
