AstroVIEW X
Type, Original
Time, 01/01/2002 12:32:39 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 9936
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2458843 ,-0.00798           ,0.00992            ,0.00395            ,0.00815            
2458844 ,0.00742            ,0.01205            ,0.00350            ,0.01303            
2458845 ,0.01970            ,0.00248            ,0.00043            ,0.00817            
2458846 ,0.01563            ,-0.00648           ,-0.00090           ,-0.00457           
2458847 ,-0.00248           ,-0.01062           ,-0.00335           ,-0.01320           
2458848 ,-0.01432           ,-0.00940           ,-0.00530           ,-0.01148           
2458849 ,-0.01617           ,-0.00125           ,-0.00115           ,-0.00300           
2458850 ,-0.00965           ,0.00930            ,0.00340            ,0.00698            
2458851 ,0.00525            ,0.01142            ,0.00277            ,0.01233            
2458852 ,0.01870            ,0.00302            ,0.00002            ,0.00853            
2458853 ,0.01760            ,-0.00567           ,-0.00100           ,-0.00298           
2458854 ,-0.00015           ,-0.00993           ,-0.00255           ,-0.01177           
2458855 ,-0.01385           ,-0.00917           ,-0.00448           ,-0.01115           
2458856 ,-0.01660           ,-0.00183           ,-0.00083           ,-0.00365           
2458857 ,-0.01077           ,0.00798            ,0.00337            ,0.00578            
2458858 ,0.00307            ,0.01085            ,0.00240            ,0.01158            
2458859 ,0.01742            ,0.00250            ,-0.00038           ,0.00880            
2458860 ,0.01938            ,-0.00533           ,-0.00090           ,-0.00157           
2458861 ,0.00335            ,-0.00862           ,-0.00202           ,-0.01000           
2458862 ,-0.01238           ,-0.00883           ,-0.00375           ,-0.01012           
2458863 ,-0.01677           ,-0.00230           ,-0.00057           ,-0.00340           
2458864 ,-0.01170           ,0.00732            ,0.00320            ,0.00493            
2458865 ,0.00095            ,0.01040            ,0.00218            ,0.01067            
2458866 ,0.01528            ,0.00287            ,-0.00100           ,0.00845            
2458867 ,0.01920            ,-0.00462           ,-0.00122           ,-0.00088           
2458868 ,0.00667            ,-0.00825           ,-0.00145           ,-0.00893           
2458869 ,-0.01003           ,-0.00817           ,-0.00290           ,-0.00945           
2458870 ,-0.01658           ,-0.00305           ,0.00000            ,-0.00353           
2458871 ,-0.01248           ,0.00687            ,0.00312            ,0.00380            
2458872 ,-0.00135           ,0.01015            ,0.00173            ,0.00967            
2458873 ,0.01272            ,0.00305            ,-0.00183           ,0.00820            
2458874 ,0.01833            ,-0.00438           ,-0.00198           ,-0.00005           
2458875 ,0.00933            ,-0.00755           ,-0.00160           ,-0.00807           
2458876 ,-0.00798           ,-0.00765           ,-0.00225           ,-0.00885           
2458877 ,-0.01608           ,-0.00327           ,0.00045            ,-0.00425           
2458878 ,-0.01317           ,0.00593            ,0.00285            ,0.00307            
2458879 ,-0.00312           ,0.00940            ,0.00090            ,0.00885            
2458880 ,0.01030            ,0.00293            ,-0.00257           ,0.00815            
2458881 ,0.01747            ,-0.00417           ,-0.00238           ,0.00085            
2458882 ,0.01198            ,-0.00685           ,-0.00190           ,-0.00715           
2458883 ,-0.00585           ,-0.00672           ,-0.00202           ,-0.00848           
2458884 ,-0.01615           ,-0.00305           ,0.00077            ,-0.00462           
2458885 ,-0.01425           ,0.00530            ,0.00315            ,0.00202            
2458886 ,-0.00467           ,0.00862            ,0.00065            ,0.00790            
2458887 ,0.00825            ,0.00268            ,-0.00305           ,0.00773            
2458888 ,0.01645            ,-0.00407           ,-0.00295           ,0.00115            
2458889 ,0.01350            ,-0.00643           ,-0.00193           ,-0.00655           
2458890 ,-0.00285           ,-0.00627           ,-0.00135           ,-0.00780           
2458891 ,-0.01522           ,-0.00283           ,0.00155            ,-0.00430           
2458892 ,-0.01477           ,0.00507            ,0.00357            ,0.00150            
2458893 ,-0.00598           ,0.00817            ,0.00080            ,0.00695            
2458894 ,0.00603            ,0.00248            ,-0.00348           ,0.00712            
2458895 ,0.01485            ,-0.00415           ,-0.00340           ,0.00148            
2458896 ,0.01400            ,-0.00607           ,-0.00222           ,-0.00583           
2458897 ,0.00050            ,-0.00550           ,-0.00122           ,-0.00717           
2458898 ,-0.01350           ,-0.00257           ,0.00237            ,-0.00400           
2458899 ,-0.01472           ,0.00450            ,0.00393            ,0.00102            
2458900 ,-0.00670           ,0.00767            ,0.00100            ,0.00607            
2458901 ,0.00390            ,0.00205            ,-0.00357           ,0.00665            
2458902 ,0.01245            ,-0.00455           ,-0.00385           ,0.00165            
2458903 ,0.01392            ,-0.00610           ,-0.00248           ,-0.00510           
2458904 ,0.00387            ,-0.00495           ,-0.00115           ,-0.00635           
2458905 ,-0.01098           ,-0.00245           ,0.00295            ,-0.00367           
2458906 ,-0.01448           ,0.00435            ,0.00450            ,0.00050            
2458907 ,-0.00750           ,0.00705            ,0.00112            ,0.00503            
2458908 ,0.00185            ,0.00162            ,-0.00405           ,0.00578            
2458909 ,0.01030            ,-0.00462           ,-0.00477           ,0.00132            
2458910 ,0.01325            ,-0.00605           ,-0.00293           ,-0.00483           
2458911 ,0.00665            ,-0.00467           ,-0.00115           ,-0.00598           
2458912 ,-0.00857           ,-0.00185           ,0.00318            ,-0.00315           
2458913 ,-0.01425           ,0.00455            ,0.00500            ,0.00050            
2458914 ,-0.00850           ,0.00653            ,0.00102            ,0.00423            
2458915 ,0.00052            ,0.00127            ,-0.00453           ,0.00510            
2458916 ,0.00825            ,-0.00522           ,-0.00533           ,0.00120            
2458917 ,0.01225            ,-0.00595           ,-0.00365           ,-0.00485           
2458918 ,0.00845            ,-0.00405           ,-0.00140           ,-0.00577           
2458919 ,-0.00540           ,-0.00120           ,0.00355            ,-0.00270           
2458920 ,-0.01305           ,0.00468            ,0.00548            ,0.00082            
2458921 ,-0.00860           ,0.00667            ,0.00148            ,0.00395            
2458922 ,-0.00050           ,0.00115            ,-0.00472           ,0.00485            
2458923 ,0.00625            ,-0.00555           ,-0.00565           ,0.00162            
2458924 ,0.01108            ,-0.00622           ,-0.00375           ,-0.00405           
2458925 ,0.00940            ,-0.00372           ,-0.00125           ,-0.00533           
2458926 ,-0.00202           ,-0.00040           ,0.00385            ,-0.00202           
2458927 ,-0.01172           ,0.00528            ,0.00623            ,0.00098            
2458928 ,-0.00915           ,0.00632            ,0.00220            ,0.00332            
2458929 ,-0.00148           ,0.00075            ,-0.00477           ,0.00398            
2458930 ,0.00435            ,-0.00625           ,-0.00612           ,0.00102            
2458931 ,0.00905            ,-0.00645           ,-0.00403           ,-0.00372           
2458932 ,0.00940            ,-0.00393           ,-0.00178           ,-0.00457           
2458933 ,0.00093            ,-0.00022           ,0.00407            ,-0.00100           
2458934 ,-0.00982           ,0.00523            ,0.00695            ,0.00195            
2458935 ,-0.00898           ,0.00650            ,0.00305            ,0.00355            
2458936 ,-0.00220           ,0.00045            ,-0.00445           ,0.00360            
2458937 ,0.00262            ,-0.00695           ,-0.00603           ,0.00082            
2458938 ,0.00678            ,-0.00712           ,-0.00398           ,-0.00355           
2458939 ,0.00857            ,-0.00398           ,-0.00195           ,-0.00440           
2458940 ,0.00348            ,-0.00010           ,0.00395            ,-0.00065           
2458941 ,-0.00733           ,0.00612            ,0.00775            ,0.00262            
2458942 ,-0.00862           ,0.00698            ,0.00393            ,0.00362            
2458943 ,-0.00278           ,0.00080            ,-0.00383           ,0.00312            
2458944 ,0.00157            ,-0.00700           ,-0.00605           ,0.00043            
2458945 ,0.00520            ,-0.00735           ,-0.00457           ,-0.00353           
2458946 ,0.00770            ,-0.00357           ,-0.00207           ,-0.00427           
2458947 ,0.00520            ,0.00060            ,0.00362            ,-0.00040           
2458948 ,-0.00488           ,0.00682            ,0.00798            ,0.00300            
2458949 ,-0.00833           ,0.00767            ,0.00453            ,0.00368            
2458950 ,-0.00360           ,0.00137            ,-0.00370           ,0.00268            
2458951 ,0.00048            ,-0.00743           ,-0.00640           ,-0.00010           
2458952 ,0.00328            ,-0.00812           ,-0.00540           ,-0.00395           
2458953 ,0.00632            ,-0.00400           ,-0.00283           ,-0.00480           
2458954 ,0.00573            ,0.00050            ,0.00325            ,-0.00067           
2458955 ,-0.00240           ,0.00703            ,0.00817            ,0.00362            
2458956 ,-0.00740           ,0.00812            ,0.00503            ,0.00375            
2458957 ,-0.00433           ,0.00120            ,-0.00338           ,0.00220            
2458958 ,-0.00043           ,-0.00770           ,-0.00657           ,-0.00085           
2458959 ,0.00135            ,-0.00920           ,-0.00583           ,-0.00435           
2458960 ,0.00475            ,-0.00500           ,-0.00322           ,-0.00522           
2458961 ,0.00580            ,0.00030            ,0.00315            ,-0.00070           
2458962 ,0.00073            ,0.00730            ,0.00832            ,0.00387            
2458963 ,-0.00570           ,0.00878            ,0.00580            ,0.00457            
2458964 ,-0.00425           ,0.00155            ,-0.00310           ,0.00205            
2458965 ,-0.00178           ,-0.00853           ,-0.00675           ,-0.00143           
2458966 ,-0.00033           ,-0.00993           ,-0.00607           ,-0.00455           
2458967 ,0.00323            ,-0.00535           ,-0.00353           ,-0.00545           
2458968 ,0.00578            ,-0.00022           ,0.00260            ,-0.00100           
2458969 ,0.00330            ,0.00660            ,0.00807            ,0.00387            
2458970 ,-0.00345           ,0.00878            ,0.00645            ,0.00475            
2458971 ,-0.00412           ,0.00170            ,-0.00243           ,0.00212            
2458972 ,-0.00210           ,-0.00843           ,-0.00648           ,-0.00167           
2458973 ,-0.00172           ,-0.01020           ,-0.00633           ,-0.00483           
2458974 ,0.00110            ,-0.00583           ,-0.00422           ,-0.00577           
2458975 ,0.00530            ,-0.00028           ,0.00215            ,-0.00102           
2458976 ,0.00535            ,0.00692            ,0.00823            ,0.00405            
2458977 ,-0.00115           ,0.00948            ,0.00680            ,0.00515            
2458978 ,-0.00353           ,0.00225            ,-0.00138           ,0.00210            
2458979 ,-0.00265           ,-0.00888           ,-0.00610           ,-0.00228           
